reviewID,DOI,author,title,reviewer_name,reviews,accepted
1015,6697269,Arnab Raha|Dieter Hogrefe|Mrinal Kanti Naskar|Omar Alfandi|Shaik Sahil Babu,Trust integrated node potential aware routing for WSNs.,Pawan Goyal 0003,Amet voluptatem ut non non tempora.,True
1016,6697270,Anant V. Nimkar|Soumya K. Ghosh 0001,An access control model for cloud-based EMR federation.,Liqiang Yao,Voluptatem ipsum sit modi voluptatem consectetur voluptatem.,True
1017,6697271,Jeril Kuriakose|Sandeep Joshi,Secured MPR node selection in the presence of cheating nodes.,Jia Deng,Sit est numquam amet labore.,False
1018,6697272,Julita Vassileva|Sabrina Nusrat,Simulating a trust-based service recommender system for decentralised user modelling environment.,Antranik Antonio Siranosian,Quiquia tempora voluptatem porro tempora ipsum neque.,True
1019,6697273,Ashok Kumar Das|Jamuna Kanta Sing|Santanu Chatterjee,Formal security analysis and verification of a password-based user authentication scheme for hierarchical wireless sensor networks.,Haiyang Wang,Ut aliquam quisquam quisquam.,True
1020,6697274,Mulagala Sandhya|Munaga V. N. K. Prasad,A hybrid technique to secure fingerprint templates using Delaunay neighbour structures.,Cristóbal Curio,Quisquam neque velit quisquam dolor.,True
1021,6697275,Leila Kheroua|Louiza Mansour|Samira Moussaoui,EDARD: efficient data access based on rumour dissemination in wireless sensor networks.,Asya Willerval,Magnam dolorem quisquam etincidunt.,True
1022,6697276,Ajith Abraham|Mrutyunjaya Panda,Development of a reliable trust management model in social internet of things.,András Varga,Quaerat amet consectetur dolore eius numquam.,True
1023,6697277,Appala Naidu Tentu|Prabal Paul|V. Ch. Venkaiah,Computationally perfect compartmented secret sharing schemes based on MDS codes.,Dennis S. Bernstein,Quiquia sed modi velit ipsum.,True
1024,6697278,Fufang Li|Lingxi Peng|Miao Liu 0005|Waixi Liu 0001|Ying Gao,Archimedean copula-based estimation of distribution algorithm for multi-objective optimisation.,Luis Rodrigues,Non tempora dolor est dolore sed quaerat.,True
1025,6697279,K. Chandrasekaran 0001|Manoj V. Thomas,Agent-based approach for identity and access management in the inter-cloud environments.,Michio Kono,Velit etincidunt dolorem amet modi labore.,False
1026,6697280,Animesh Mahata|Biswajit Biswas|Md. Asif Sarfaraj|Palash Mandal|Subhas Barman|Utpal Pal,A complete literature review on financial fraud detection applying data mining techniques.,Bisheng Yang,Magnam magnam voluptatem quaerat eius.,True
1027,6697281,Amanjot Kaur|Varun Dutt,"Cyber security: testing the effects of attack strategy, similarity, and experience on cyber attack detection.",Bonan Zhou,Adipisci porro quisquam quiquia.,True
1028,6697282,Bahia Zebbane|Manel Chenait|Nadjib Badache,GTC: a geographical topology control protocol to conserve energy in wireless sensor networks.,Mingxuan Shen,Amet neque dolorem est sit.,True
1029,6697283,Korra Sathya Babu|Rajesh Pillelli|Sanjay Kumar Jena,Enhanced t-closeness for balancing utility and privacy.,Anna Maria Perdon,Aliquam magnam quiquia modi quiquia.,True
1030,6697284,Deepnarayan Tiwari|G. R. Gangadharan|Maode Ma,Secure delegation of services through proxy signature with revocation.,Juan Carlos Zúñiga Anaya,Dolor amet labore dolore quaerat consectetur.,True
1031,6697285,Grzegorz Kolaczek|Jerzy Konorski|Krzysztof Cabaj|Pawel Szalachowski|Piotr Pacyna|Zbigniew Kotulski,Theory and implementation of a virtualisation level Future Internet defence in depth architecture.,Michelle Bergadaà,Sit numquam modi ut.,True
1032,6697286,Cécile Paris|Sanat Kumar Bista|Surya Nepal|Wanita Sherchan,A trust model-based analysis of social networks.,Nikolaos Bekiaris-Liberis,Voluptatem sed non consectetur eius sit dolorem.,True
1033,6697287,C. Balarengadurai|S. Saraswathi,Fuzzy logic-based detection of DDoS attacks in IEEE 802.15.4 low rate wireless personal area network.,John T. Wen,Voluptatem velit est etincidunt tempora.,True
1034,6697288,Arti Dwivedi|Ashok Kumar Mittal|Suneet Dwivedi,Role of parameter adaptation in chaotic communication.,Hua Yong Liang,Magnam dolor modi dolorem quiquia dolorem voluptatem.,True
1035,6697289,Mohan S. Kankanhalli|Mukesh Kumar Saini|Pradeep K. Atrey|Sharad Mehrotra,Privacy aware publication of surveillance video.,Antonio Corral,Tempora sed dolorem modi dolore modi.,True
1036,6697290,Jaipal Reddy Anugu|Munaga V. N. K. Prasad,Multi-algorithmic fingerprint model for cancellable template generation.,Yong He 0006,Adipisci etincidunt est eius quiquia.,True
1037,6697291,Jitendra Singh|Rakesh Kumar 0008|Vimal Kumar 0002,An efficient and secure RSA-based certificateless signature scheme for wireless sensor networks.,Elahe Aghapour,Eius labore quaerat sed quisquam neque amet.,True
1038,6697292,Kenneth David Strang,Socio-cultural distrust of internet information.,Xinglong Niu,Non dolor ipsum sit.,True
1039,6697293,Ashok Kumar Das|Jamuna Kanta Sing|Santanu Chatterjee,A survey on user access control in wireless sensor networks with formal security verification.,Chanying Li,Sed dolorem sit magnam sit modi tempora.,True
1040,6697294,Brennen Kelly|Kelsey Karpinski|Syed S. Rizvi|Taryn Walker,A user oriented cloud security evaluation framework.,Hui Ma 0001,Est amet consectetur porro aliquam aliquam ipsum eius.,True
1041,6697295,Arpita Bhargava|Brijesh Kumar Chaurasia|Kapil Sharma|Shekhar Verma,Trust computation in VANET using TOEFV.,Daniel D. Santana,Labore quiquia sed velit quiquia sit tempora.,True
1042,6697296,Albert Rego|Christos Gkountis|Jaime Lloret 0001|Laura García,A new proposal for trust management in wireless sensor networks based on validation.,Anne-Kathrin Schmuck,Adipisci est numquam quiquia.,True
1043,6697297,Hisham Salah|Mohamed Eltoweissy,Personalised reconfigurable trust management.,Dezong Zhao,Etincidunt magnam sed labore dolor porro aliquam.,True
1044,6697298,Jens Müller 0002|Klemens Böhm,Identity business processes.,Derong Liu 0001,Dolore est dolore numquam non ipsum neque dolor.,False
1045,6697299,Nick Wainwright|Siani Pearson,An interdisciplinary approach to accountability for future internet service provision.,Hongbin Ma,Ipsum sit numquam modi.,True
1046,6697300,Deepthi P. Pattathil|Nishanth Augustine|Sudhish N. George,An audio encryption technique through compressive sensing and Arnold transform.,Stephen P. Banks,Est consectetur ipsum aliquam dolor.,True
1047,6697301,A. Pravin Renold|S. Geethanjali,A trust-based AODV routing protocol for improved QoS in mobile ad-hoc networks.,Fritz Colonius,Voluptatem est tempora labore modi etincidunt est.,True
1048,6697302,Agrima Srivastava|G. Geethakumari,Privacy landscape in online social networks.,Aurelian Cernea,Voluptatem ut est numquam ipsum modi dolore ipsum.,True
1049,6697303,Al-Sakib Khan Pathan,Editorial article: On the boundaries of trust and security in computing and communications systems.,Dirk Aeyels,Ut dolor porro sed quisquam velit neque.,True
1050,6697304,Adrijit Goswami|Ashok Kumar Das|Vanga Odelu,A novel linear polynomial-based dynamic key management scheme for hierarchical access control.,Anton V. Ushakov,Dolorem dolor aliquam eius.,True
1051,6697305,Dheerendra Mishra|Sourav Mukhopadhyay,A privacy enabling content distribution framework for digital rights management.,Andrei Furda,Aliquam non est dolore sit.,True
1052,6697306,G. Geethakumari|K. P. Krishna Kumar,Analysis and modelling of semantic attacks in online social networks.,Antonella Zanna,Modi consectetur non aliquam neque labore sit.,True
1053,6697307,Jared Oluoch,A theoretical framework for trust management in vehicular ad hoc networks.,Shmuel Boyarski,Non neque non consectetur tempora dolor consectetur labore.,True
1054,6697308,Jemal H. Abawajy|Soon-Keow Chong,Mitigating malicious feedback attacks in trust management systems.,Sérgio S. Rodrigues,Dolorem etincidunt dolore voluptatem.,True
1055,6697309,Md. Imran Alam|Raju Halder,Refining dependencies for information flow analysis of database applications.,Hui Zhang 0075,Tempora numquam voluptatem est quaerat.,True
1056,6697310,Priyanka Dey|Sarmistha Neogy|Suparna Biswas,Improved recovery probability of mobile hosts using energy and mobility-based secure checkpointing-recovery.,Alain Destexhe,Dolorem quaerat adipisci numquam ut quaerat dolore modi.,True
1057,6697311,Bhagyalekshmy N. Thampi|Guillaume Bouffard|Jean-Louis Lanet,Security automaton to mitigate laser-based fault attacks on smart cards.,Danny C. Sorensen,Eius ut non sed.,True
1058,6697312,BKSP Kumar Raju Alluri|G. Geethakumari|Geetha Meera,CEAT: a cloud evidence acquisition tool for aiding forensic investigations in cloud systems.,Jemal H. Abawajy,Ipsum adipisci etincidunt sed.,True
1059,6697313,Anant V. Nimkar|Soumya K. Ghosh 0001,Caucus: an authentication protocol for cloud federation.,Alessandro Colombo,Magnam labore quaerat consectetur.,True
1060,6697314,Arunkumar Thangavelu|Debi Prasanna Acharjya|K. Senthil Kumar,Trust evaluation using fuzzy proximity relation with ordering for MANET.,Huiyun Li,Dolor adipisci amet neque voluptatem sit.,True
1061,6697315,Enrico Cambiaso|Gianluca Papaleo|Giovanni Chiola|Maurizio Aiello,Slow DoS attacks: definition and categorisation.,Anton A. Pyrkin,Neque quisquam est quiquia sed adipisci ipsum.,True
1062,6697316,A. Christy|Rangareddy Jayashree|S. Venkatesh,Personalised recommendation system for ranking in question-answering websites with splay tree by avoiding tumbleweed badge.,Feng Zheng,Quisquam quiquia neque ipsum.,True
1063,6697317,Nilesh Chakraborty|Samrat Mondal,I-SLASS: an improved login approach over SLASS.,Michel Toulouse,Dolor dolorem aliquam velit quisquam etincidunt ipsum velit.,True
1064,6697318,Nilesh Chakraborty|Samrat Mondal,HoneyString: an improved methodology over tag digit-based honeypot to detect shoulder surfing attack.,E. Richard,Tempora amet porro quiquia.,True
1065,6697319,Kamel Saddiki|Marc Gilg|Pascal Lorenz|Sofiane Boukli Hacene,Black hole attack detection and ignoring in OLSR protocol.,Jinhu Lü,Amet magnam est dolore eius ut magnam.,True
1066,6697320,Anand Singh Jalal|Charul Bhatnagar|Soumendu Chakraborty,An efficient bit plane X-OR algorithm for irreversible image steganography.,Andreas Wirsen,Adipisci dolorem dolore magnam.,True
1067,6697321,Ratna Dutta|Sarbari Mitra|Sourav Mukhopadhyay,A deterministic key pre-distribution scheme for WSN using projective planes and their complements.,Francesco Bullo,Etincidunt quisquam ut quisquam dolor consectetur etincidunt.,True
1068,6697322,Eric D. Kameni|Theo P. van der Weide,Intrusion detection in a trust-based recommendation system.,Krzysztof Jankiewicz,Velit modi tempora velit etincidunt sed quiquia.,True
1069,6697323,B. B. Amberker|B. R. Purushothama,Secure group key management scheme for simultaneous multiple groups with overlapped memberships using binomial key tree with new approach to key distribution and key computation.,Tadeusz Morzy,Labore sed consectetur voluptatem labore.,True
1070,6697324,Punam Bedi|Richa Sharma|V. Aakanksha,Trust and context view-based knowledge sharing in MANets.,Alberto Mercado,Dolorem non neque magnam non est quaerat quiquia.,True
1071,6697325,Ilaiah Kavati|Munaga V. N. K. Prasad,Hand vein authentication system using connected minutiae neighbours.,Richard Pothin,Amet ut modi velit labore quiquia dolore.,True
1072,6697326,Mahmoud Mariee|Marwa Gamal|Rawya Rizk,Selective opportunistic routing based on QoS in wireless mesh network.,Pierre Dubois,Quisquam modi amet aliquam numquam ipsum neque.,True
1073,6697327,K. Chandrasekaran|V. Geetha,TFSR: trust factors evaluation-based secure routing protocol for wireless sensor network.,Taeyoung Lee,Quisquam sed sit dolor non.,True
1074,6697328,Christian Callegari|Gregorio Procissi|Michele Pagano|Stefano Giordano,A secure and privacy-preserving approach to communications in smart grids.,R. V. Adams,Quisquam quisquam numquam amet etincidunt neque modi amet.,True
1075,6697329,Christian Hicks|Pupong Pongcharoen|Srisatja Vitayasak,Robust machine layout design under dynamic environment: Dynamic customer demand and machine maintenance.,Hiroshi Ito 0001,Etincidunt dolor dolor sed etincidunt voluptatem eius.,True
1076,6697330,Eynollah Khanjari|Nasrin Kalanat,Extracting actionable knowledge from social networks with node attributes.,Jacques Dudon,Modi etincidunt quaerat aliquam porro amet aliquam numquam.,True
1077,6697331,Hamid Abdullah Jalab|Maryam Asadzadeh Kaljahi|Michael Blumenstein|Mohamad Nizam Bin Ayub|Palaiahnakote Shivakumara|Rabha W. Ibrahim|Tianping Hu|Tong Lu,A geometric and fractional entropy-based method for family photo classification.,Fritz Colonius,Numquam modi modi consectetur.,True
1078,6697332,Debahuti Mishra|Minakhi Rout|Smruti Rekha Das,Stock market prediction using Firefly algorithm with evolutionary framework optimized feature reduction for OSELM method.,Hui Ma 0001,Sed tempora quaerat voluptatem est labore est.,True
1079,6697333,Conrad S. Tucker|Sung Hoon Lim,Mining Twitter data for causal links between tweets and real-world outcomes.,Serge Nicaise,Amet ut numquam adipisci consectetur tempora sed neque.,True
1080,6697334,Chenglong Dai|Dechang Pi|Huaifeng Zhang|Jing Jiang,A novel multi-module neural network system for imbalanced heartbeats classification.,Anders Schlichtkrull,Velit dolore voluptatem magnam aliquam.,True
1081,6697335,Georgios Kontonatsios|Ioannis Korkontzelos|Peter Matthew|Sally Spencer,Using a neural network-based feature extraction method to facilitate citation screening for systematic reviews.,Ruo Jia,Modi sit etincidunt ipsum.,True
1082,6697336,Kurt Schneider|Steffen Herbold|Tobias Baum,GIMO: A multi-objective anytime rule mining system to ease iterative feedback from domain experts.,Muhammad Saeed Akram,Tempora neque ut sed neque quiquia velit est.,True
1083,6697337,Arash Gharehbaghi|Masoud Daneshtalab|Mohammad Loni|Zahra Ebrahimi,A review on deep learning methods for ECG arrhythmia classification.,Farhad Farokhi,Velit dolore dolorem dolore amet tempora.,True
1084,6697338,Ju Huyan|Lili Pei|Liyang Xiao|Susan L. Tighe|Wei Li 0120,International roughness index prediction based on multigranularity fuzzy time series and particle swarm optimization.,Amir Ali Ahmadi,Est sed consectetur modi porro adipisci adipisci magnam.,True
1085,6697339,Johannes Wagner 0004|Peter Burggräf|Tim Weißer,Knowledge-based problem solving in physical product development--A methodological review.,Izumi Masubuchi,Adipisci dolore quisquam non.,True
1086,6697340,Hongnian Yu|Shuang Cang|Yan Wang 0064,Mutual information inspired feature selection using kernel canonical correlation analysis.,Jiwen He,Sit magnam sed tempora quiquia tempora non.,True
1087,6697341,Liping Zhao 0001|Manal Binkhonain,A review of machine learning algorithms for identification and classification of non-functional requirements.,Shen Li,Quiquia voluptatem quiquia labore sit sed.,True
1088,6697342,Peter Ochieng,PAROT: Translating natural language to SPARQL.,Kenza Kellou-Menouer,Velit etincidunt amet dolor dolor adipisci dolorem.,True
1089,6697343,Luis Fanjul-Peyro,Models and an exact method for the Unrelated Parallel Machine scheduling problem with setups and resources.,Lassaad Mchiri,Voluptatem adipisci sit dolorem.,True
1090,6697344,Iván Pastor Sanz,Using the European Commission country recommendations to predict sovereign ratings: A topic modeling approach.,Priyanka Dey,Dolorem non quisquam dolor.,True
1091,6697345,Olli-Pekka Hilmola,Role of inventory and assets in shareholder value creation.,Denis Iwanesko Didjeko,Modi voluptatem quisquam velit porro.,True
1092,6697346,Jean-Michel Knippel,Présentation de CSI'91.,Mulagala Sandhya,Amet etincidunt ut neque dolor.,True
1093,6697347,Patrick Isoardi,ADA plus ou les structures ADA.,Shodhan Rao,Modi adipisci consectetur dolore dolor tempora sit.,True
1094,6697348,Jean-Michel Knippel,"Turing-machine, partitions.",Karl Heinz Kienitz,Non non adipisci neque quaerat eius dolorem.,True
1095,6697349,Edmond Bianco,Systemes de post: construction de phrases.,Elizabeth L. Mansfield,Quaerat voluptatem voluptatem magnam aliquam ipsum.,True
1096,6697350,Pierre Dubois,Éditorial: Histoires d'Universités : le travail en miettes.,Daniel Miller,Consectetur quisquam sit modi.,True
1097,6697351,Edmond Bianco,Vouzzavedibisar: Notre civilisation expliquée par les jeux.,Ha Manh Tran,Non tempora quaerat quiquia tempora porro etincidunt.,True
1098,6697352,André Tricot,"Chronique ""hypertextes et hypermedias"" 1945-1995.",Joschka Bischoff,Non magnam non numquam.,True
1099,6697353,Edmond Bianco,"Informatique, vérité, théorème de Gödel.",Laurent Lefèvre,Tempora quiquia sed voluptatem non eius sit aliquam.,True
1100,6697354,Alain Delpierre,Une initiation aux bases de données ACCESS.,Joseph Y. J. Chow,Adipisci modi quaerat ipsum porro amet est quisquam.,True
1101,6697355,Edmond Bianco,Systeme universel (suite de suite).,Kay Tancock,Non consectetur non quiquia quisquam labore neque.,True
1102,6697356,Edmond Bianco,Vouzzavedibisar: La saga de Petit Lapin.,Dongyi Li,Adipisci dolore etincidunt tempora dolorem non labore.,True
1103,6697357,Clyde Chabot|Jean-Michel Knippel,Hamlet-machine ensemble n,Bram Demeulenaere,Eius numquam eius quaerat sed ipsum quiquia.,True
1104,6697358,Edmond Bianco,Vouzzavedibisar: Voyage.,Claudia Roncancio,Dolor etincidunt tempora sit magnam modi voluptatem.,True
1105,6697359,Edmond Bianco,Vouzzavedibisar: A la manière de...,Jean-Pierre Petit,Velit non velit dolore quiquia dolorem.,True
1106,6697360,Jean-Michel Knippel,"""square trisection"" de abu'l wafa' à christian blanvillain.",Christoforos Keroglou,Sit tempora amet sed non dolor.,True
1107,6697361,Sami Hilala,Langage de conduite des processus.,Haris Kremo,Dolorem dolore quiquia non consectetur.,True
1108,6697362,Edmond Bianco,Éditorial: Paradoxe.,Christopher Edwards,Non etincidunt eius dolorem porro aliquam adipisci.,True
1109,6697363,Jean-Michel Knippel,"Chabot, Derbez et Isoardi: points de vue sur la contradiction et la rationalité.",Hideki Kokame,Est labore sed dolore dolore voluptatem.,True
1110,6697364,Eric Olivier,Qu'est-ce qu'une machine? (III/III).,Ji-Gen Peng,Aliquam velit amet ipsum modi consectetur quiquia eius.,True
1111,6697365,André Richard,Architecture et informatique alternative.,Mike Shub,Porro eius non est.,True
1112,6697366,Edmond Bianco,Éditorial: Informatique et desarroi.,Bernardo A. Hernandez Vicente,Velit labore ut aliquam ut porro.,True
1113,6697368,Eric Olivier,Qu'est-ce qu'une machine? (II/III).,Xiao Fu,Dolor sit numquam quiquia sed consectetur.,True
1114,6697369,Jean-Pierre Petit,Vouzzavedibisar : Regard oblique.,Yuan Wang 0005,Neque velit neque voluptatem.,True
1115,6697370,Jean-Michel Knippel,Une informatique alternative.,Fangcui Jiang,Consectetur velit quiquia quiquia.,True
1116,6697371,Annagret Taeschner,Vouzzavedibisar: Der Weise. Le sage.,Diego Regruto,Voluptatem porro aliquam numquam.,True
1117,6697372,Étienne André,«thinking»: onze minutes en onze pages.,Maurício C. de Oliveira,Dolore quisquam consectetur dolorem.,True
1118,6697373,Edmond Bianco,Vouzzavedibisar: Le temps des voyages.,Gustavo Belforte,Dolore tempora etincidunt sit neque ut.,True
1119,6697374,Patrick Isoardi,Vouzzavedibisar: MARTH une étrange planète.,Ali Hassan 0001,Non tempora consectetur dolor quisquam labore ipsum voluptatem.,True
1120,6697375,Jean-Pierre Petit,Vouzzavedibisar.,Changlong Zhang,Consectetur dolorem neque modi ut.,True
1121,6697376,Edmond Bianco,Éditorial: Informatique et évolution de société.,Matthew C. Turner,Eius voluptatem velit non.,True
1122,6697377,Didier Raoult,Vouzzavedibisar: Le président.,Ronald A. DeVore,Etincidunt numquam dolore amet est labore.,True
1123,6697378,Edmond Bianco,Éditorial: Alunir.,Antonio Torralba 0002,Labore quisquam sed eius dolor ut ut.,True
1124,6697379,Carlos Derbez,"Une logique conflictuelle: introduction, choix conflictuels et adaptations.",Liangjian Hu,Modi velit eius dolor velit modi modi modi.,True
1125,6697380,Nadine Amrani,Vouzzavedibisar: Trait d'orchestre.,Paolo Paoletti,Numquam velit sed labore adipisci neque dolor.,True
1126,6697381,Annagret Taeschner,Vouzzavedibisar: Der Professor (le professeur).,Fang Wang 0003,Sit velit numquam amet.,True
1127,6697382,Jalal Almhana,"Bidirectional, two dimensional regular data flow architecture.",Jeril Kuriakose,Ipsum ipsum magnam ut.,True
1128,6697383,Edmond Bianco,Éditorial: Informatique et dégénérescence cancéreuse.,Ming Cao 0001,Modi aliquam magnam ut aliquam.,True
1129,6697384,Henri Lafage,Vouzzavedibisar: Secrétariat Général.,Leonardo Saenz,Quaerat aliquam quisquam sit velit.,True
1130,6697385,Edmond Bianco,Éditorial: Les aventures de Savate Premier et son Ordinateur Chevelu.,Agostino Cortesi,Etincidunt modi magnam sed sit porro etincidunt tempora.,True
1131,6697386,Edmond Bianco,"Éditorial: Informatique et informance, communicance, déchéance.",Hilbert J. Kappen,Labore adipisci voluptatem est numquam quiquia.,True
1132,6697387,Edmond Bianco,Éditorial: J'aurais pu...,João W. Cangussu,Sit magnam neque quisquam dolorem.,True
1133,6697388,Jean-Michel Knippel,Vouzzavedibisar: Séminaires 1994.,Ahmed Abdo,Quiquia velit quiquia quisquam neque sit labore velit.,True
1134,6697389,Nadia Mesli,Bases de donnees et lexiques-grammaires: un exemple d'exploitation linguistique de l'outil informatique.,Qingxin Meng,Ut dolorem etincidunt amet aliquam porro ipsum.,True
1135,6697390,Edmond Bianco,"Machines, langages, compilation.",Christoph Reisinger,Tempora tempora tempora dolor numquam porro etincidunt.,True
1136,6697391,Jean-Philippe Lehmann,"Une preuve directe de l'equivalence: machine de turing, machine a cases adressables.",Changyun Wen,Amet numquam porro etincidunt numquam.,True
1137,6697392,Edmond Bianco,Éditorial: Economie et société.,Isaac Yaesh,Ut quisquam dolore adipisci adipisci velit.,True
1138,6697393,Jean-Pierre Petit,Videac. Télétruc. Janvier 1982.,Chuanrui Wang,Quaerat est eius voluptatem ut etincidunt tempora modi.,True
1139,6697394,Edmond Bianco,Le processeur experimental MCA-0.,Venkat Chandrasekaran,Consectetur tempora aliquam voluptatem labore est quisquam numquam.,True
1140,6697395,Jean-Pierre Petit,Vouzzavedibisar.,Feiyue Wu,Consectetur aliquam ut quisquam consectetur neque.,True
1141,6697396,Eric Olivier,Preambule I: Le programme de la journée du 30 mars 2012.,Feiqi Deng,Quaerat tempora adipisci neque ipsum eius.,True
1142,6697397,Edmond Bianco,Notion d'autojectivite notion de statut.,Chunzhao Guo,Quaerat sit quisquam sed porro quiquia eius labore.,True
1143,6697398,Edmond Bianco,Éditorial: Gavage des oies.,Genqi Xu,Etincidunt sed velit voluptatem sit quaerat.,True
1144,6697399,Edmond Bianco,Éditorial: Informatique et Néant.,Luc Doyen,Sit magnam numquam tempora eius.,True
1145,6697400,Christian Blanvillain|János Pach,"""square trisection"". dissection of a square in three congruent partitions.",Dena Karimipour,Ipsum numquam quaerat dolorem.,True
1146,6697401,Jérôme Durand-Lose,"Vouzzavedibisar: International Conference MCU 2007 - Machines, Computations and Universality.",George C. Oikonomou,Neque consectetur dolor sit modi voluptatem.,True
1147,6697402,Philippe Bootz,La litterature animee programmee.,Diange Yang,Amet amet aliquam modi dolor non dolorem.,True
1148,6697403,Edmond Bianco,Vouzzavedibisar: L'électeur Gaullicoque.,Arnulf Jentzen,Amet labore sed numquam magnam quaerat porro.,True
1149,6697404,Robert Valette,Bonnes propriétés et invariants d'un réseau de petri.,Xiaofei Fan,Ut magnam est quaerat non quisquam modi neque.,True
1150,6697405,Edmond Bianco,Éditorial: Drame familial.,Dimitris Kotzinos,Tempora modi voluptatem dolore dolor numquam dolor.,True
1151,6697406,Edmond Bianco,Notion d'insertion dans la machine de Nolin.,Ana Belén Rodríguez-González,Sit neque dolor sit numquam numquam consectetur.,True
1152,6697407,Edmond Bianco,Éditorial: Au fou.,Caixia Wang,Neque non aliquam tempora dolore.,True
1153,6697409,Edmond Bianco,Vouzzavedibisar: Le symbole (suite).,Kenji Fujimoto,Labore consectetur quiquia modi consectetur consectetur labore quaerat.,False
1154,6697410,Robert Valette,Définitions formelles des réseaux de petri.,Laurent Bako,Aliquam numquam dolor consectetur labore etincidunt.,True
1155,6697411,Edmond Bianco,Autojection et systemes procedure formelle symbolique.,David Bétaille,Etincidunt etincidunt non adipisci velit dolor.,True
1156,6697412,Alain Panariello,Formalisme de representation de la cinematique des systemes de gestion automatises et quasi automatises.,Jietae Lee,Velit quaerat modi aliquam etincidunt.,True
1157,6697413,Roger Dupuy,"Éditorial: Famille, jardin, orthoptère et Goldbach.",Ali Devran Kara,Dolorem dolore voluptatem tempora non adipisci.,False
1158,6697414,Edmond Bianco,Vouzzavedibisar: L'Honneur et la Nation.,Fubao Xi,Porro labore amet aliquam.,True
1159,6697415,Charles Duchâteau,"Images pour programmer: une marche a suivre, qu'est-ce que c'est?",Alain Sarlette,Non quaerat etincidunt quaerat neque ipsum velit.,True
1160,6697416,Jean-Luc Paillet,Utilisation d'un micro-processeur specialise dans le calcul.,Isma Bouchemakh,Non voluptatem tempora voluptatem quiquia dolor ut.,True
1161,6697417,Edmond Bianco,Éditorial: Informatique et décrépitude.,Boulekhrass Gherbal,Numquam quisquam neque ut neque.,True
1162,6697418,Jean-Michel Knippel,Éditorial: La 9.,Günter Leugering,Dolor tempora ipsum amet velit quiquia sed.,True
1163,6697419,Edmond Bianco,Éditorial: Informatique et Europe.,David Z. W. Wang,Modi magnam eius magnam ipsum porro aliquam sed.,True
1164,6697420,Patrick Isoardi,Souvenirs...,Andreas Tamke,Tempora est quisquam amet dolore sit adipisci.,True
