citaID,author,title,year
6697334,Chenglong Dai|Dechang Pi|Huaifeng Zhang|Jing Jiang,A novel multi-module neural network system for imbalanced heartbeats classification.,2019.0
6697335,Georgios Kontonatsios|Ioannis Korkontzelos|Peter Matthew|Sally Spencer,Using a neural network-based feature extraction method to facilitate citation screening for systematic reviews.,2020.0
6697336,Kurt Schneider|Steffen Herbold|Tobias Baum,GIMO: A multi-objective anytime rule mining system to ease iterative feedback from domain experts.,2020.0
6697337,Arash Gharehbaghi|Masoud Daneshtalab|Mohammad Loni|Zahra Ebrahimi,A review on deep learning methods for ECG arrhythmia classification.,2020.0
6697338,Ju Huyan|Lili Pei|Liyang Xiao|Susan L. Tighe|Wei Li 0120,International roughness index prediction based on multigranularity fuzzy time series and particle swarm optimization.,2019.0
6697339,Johannes Wagner 0004|Peter Burggräf|Tim Weißer,Knowledge-based problem solving in physical product development--A methodological review.,2020.0
6697340,Hongnian Yu|Shuang Cang|Yan Wang 0064,Mutual information inspired feature selection using kernel canonical correlation analysis.,2019.0
6697341,Liping Zhao 0001|Manal Binkhonain,A review of machine learning algorithms for identification and classification of non-functional requirements.,2019.0
6697342,Peter Ochieng,PAROT: Translating natural language to SPARQL.,2020.0
6697343,Luis Fanjul-Peyro,Models and an exact method for the Unrelated Parallel Machine scheduling problem with setups and resources.,2020.0
6697344,Iván Pastor Sanz,Using the European Commission country recommendations to predict sovereign ratings: A topic modeling approach.,2020.0
6697345,Olli-Pekka Hilmola,Role of inventory and assets in shareholder value creation.,2020.0
6697346,Jean-Michel Knippel,Présentation de CSI'91.,1992.0
6697347,Patrick Isoardi,ADA plus ou les structures ADA.,1982.0
6697348,Jean-Michel Knippel,"Turing-machine, partitions.",2003.0
6697349,Edmond Bianco,Systemes de post: construction de phrases.,1990.0
6697350,Pierre Dubois,Éditorial: Histoires d'Universités : le travail en miettes.,2014.0
6697351,Edmond Bianco,Vouzzavedibisar: Notre civilisation expliquée par les jeux.,1988.0
6697352,André Tricot,"Chronique ""hypertextes et hypermedias"" 1945-1995.",1997.0
6697353,Edmond Bianco,"Informatique, vérité, théorème de Gödel.",2015.0
6697354,Alain Delpierre,Une initiation aux bases de données ACCESS.,2008.0
6697355,Edmond Bianco,Systeme universel (suite de suite).,1989.0
6697356,Edmond Bianco,Vouzzavedibisar: La saga de Petit Lapin.,2008.0
6697357,Clyde Chabot|Jean-Michel Knippel,Hamlet-machine ensemble n,2001.0
6697358,Edmond Bianco,Vouzzavedibisar: Voyage.,1989.0
6697359,Edmond Bianco,Vouzzavedibisar: A la manière de...,1988.0
6697360,Jean-Michel Knippel,"""square trisection"" de abu'l wafa' à christian blanvillain.",2010.0
6697361,Sami Hilala,Langage de conduite des processus.,1988.0
6697362,Edmond Bianco,Éditorial: Paradoxe.,1989.0
6697363,Jean-Michel Knippel,"Chabot, Derbez et Isoardi: points de vue sur la contradiction et la rationalité.",2006.0
6697364,Eric Olivier,Qu'est-ce qu'une machine? (III/III).,2014.0
6697365,André Richard,Architecture et informatique alternative.,2003.0
6697366,Edmond Bianco,Éditorial: Informatique et desarroi.,1995.0
6697368,Eric Olivier,Qu'est-ce qu'une machine? (II/III).,2014.0
6697369,Jean-Pierre Petit,Vouzzavedibisar : Regard oblique.,2016.0
6697370,Jean-Michel Knippel,Une informatique alternative.,2003.0
6697371,Annagret Taeschner,Vouzzavedibisar: Der Weise. Le sage.,2011.0
6697372,Étienne André,«thinking»: onze minutes en onze pages.,2011.0
6697373,Edmond Bianco,Vouzzavedibisar: Le temps des voyages.,1997.0
6697374,Patrick Isoardi,Vouzzavedibisar: MARTH une étrange planète.,2006.0
6697375,Jean-Pierre Petit,Vouzzavedibisar.,2011.0
6697376,Edmond Bianco,Éditorial: Informatique et évolution de société.,1992.0
6697377,Didier Raoult,Vouzzavedibisar: Le président.,1996.0
6697378,Edmond Bianco,Éditorial: Alunir.,1988.0
6697379,Carlos Derbez,"Une logique conflictuelle: introduction, choix conflictuels et adaptations.",2006.0
6697380,Nadine Amrani,Vouzzavedibisar: Trait d'orchestre.,2002.0
6697381,Annagret Taeschner,Vouzzavedibisar: Der Professor (le professeur).,2000.0
6697382,Jalal Almhana,"Bidirectional, two dimensional regular data flow architecture.",1993.0
6697383,Edmond Bianco,Éditorial: Informatique et dégénérescence cancéreuse.,1993.0
6697384,Henri Lafage,Vouzzavedibisar: Secrétariat Général.,1997.0
6697385,Edmond Bianco,Éditorial: Les aventures de Savate Premier et son Ordinateur Chevelu.,1994.0
6697386,Edmond Bianco,"Éditorial: Informatique et informance, communicance, déchéance.",2003.0
6697387,Edmond Bianco,Éditorial: J'aurais pu...,1984.0
6697388,Jean-Michel Knippel,Vouzzavedibisar: Séminaires 1994.,1995.0
6697389,Nadia Mesli,Bases de donnees et lexiques-grammaires: un exemple d'exploitation linguistique de l'outil informatique.,2002.0
6697390,Edmond Bianco,"Machines, langages, compilation.",1982.0
6697391,Jean-Philippe Lehmann,"Une preuve directe de l'equivalence: machine de turing, machine a cases adressables.",1984.0
6697392,Edmond Bianco,Éditorial: Economie et société.,2006.0
6697393,Jean-Pierre Petit,Videac. Télétruc. Janvier 1982.,2015.0
6697394,Edmond Bianco,Le processeur experimental MCA-0.,1981.0
6697395,Jean-Pierre Petit,Vouzzavedibisar.,2009.0
6697396,Eric Olivier,Preambule I: Le programme de la journée du 30 mars 2012.,2012.0
6697397,Edmond Bianco,Notion d'autojectivite notion de statut.,1988.0
6697398,Edmond Bianco,Éditorial: Gavage des oies.,2004.0
6697399,Edmond Bianco,Éditorial: Informatique et Néant.,1984.0
6697400,Christian Blanvillain|János Pach,"""square trisection"". dissection of a square in three congruent partitions.",2010.0
6697401,Jérôme Durand-Lose,"Vouzzavedibisar: International Conference MCU 2007 - Machines, Computations and Universality.",2007.0
6697402,Philippe Bootz,La litterature animee programmee.,2002.0
6697403,Edmond Bianco,Vouzzavedibisar: L'électeur Gaullicoque.,2008.0
6697404,Robert Valette,Bonnes propriétés et invariants d'un réseau de petri.,2010.0
6697405,Edmond Bianco,Éditorial: Drame familial.,2006.0
6697406,Edmond Bianco,Notion d'insertion dans la machine de Nolin.,1986.0
6697407,Edmond Bianco,Éditorial: Au fou.,1998.0
6697409,Edmond Bianco,Vouzzavedibisar: Le symbole (suite).,1999.0
6697410,Robert Valette,Définitions formelles des réseaux de petri.,2009.0
6697411,Edmond Bianco,Autojection et systemes procedure formelle symbolique.,1984.0
6697412,Alain Panariello,Formalisme de representation de la cinematique des systemes de gestion automatises et quasi automatises.,1982.0
6697413,Roger Dupuy,"Éditorial: Famille, jardin, orthoptère et Goldbach.",2008.0
6697414,Edmond Bianco,Vouzzavedibisar: L'Honneur et la Nation.,1993.0
6697415,Charles Duchâteau,"Images pour programmer: une marche a suivre, qu'est-ce que c'est?",2004.0
6697416,Jean-Luc Paillet,Utilisation d'un micro-processeur specialise dans le calcul.,1984.0
6697417,Edmond Bianco,Éditorial: Informatique et décrépitude.,1993.0
6697418,Jean-Michel Knippel,Éditorial: La 9.,2007.0
6697419,Edmond Bianco,Éditorial: Informatique et Europe.,1991.0
6697420,Patrick Isoardi,Souvenirs...,1982.0
6697421,Edmond Bianco,Éditorial: Qu'est ce que l'informatique?,1981.0
6697422,Keith Collins,Éditorial: L'immortalité à portée de clavier.,2013.0
6697423,Jean-Michel Knippel,Éditorial: Développement en fractions continues et algorithmes.,2014.0
6697424,Edmond Bianco,Éditorial: Intelligence naturelle et gros sous.,1990.0
6697425,Lovska Popova,Methodologie de developpement des systemes experts.,1994.0
6697426,Jean-Michel Knippel,Preambule II: Les inscrit(e)s à la journée du 30 mars 2012.,2012.0
6697427,Jean-Michel Knippel,Vouzzavedibisar: Séminaires 1993.,1994.0
6697428,Edmond Bianco,Autojection et compilateurs procedure formelle symbolique.,1983.0
6697429,Jean-Michel Knippel|Mohamed Tayeb Laskri,Formalisation de thesaurus a l'aide des reseaux de petri.,1990.0
6697430,Maurice Nivat,"Éditorial : Jacques Arsac, astronome et informaticien.",2016.0
6697431,Dami|Evelyne Henri,Vouzzavedibisar: L'offsetiste et la banquière. Marcel et Claudine.,2008.0
6697432,Peter Beyls,Synthetic creatures in context.,2002.0
6697433,Edmond Bianco,Chapitre 1 - notions de calcul.,1996.0
6697434,Louis Frécon,Tester les compilateurs.,2013.0
6697435,Robert Valette,Introduction aux Réseaux de Petri.,2009.0
6697436,Jean-Philippe Lehmann,Quelques remarques sur un systeme sequentiel.,1982.0
6697438,Edmond Bianco,Statuts.,1991.0
6697439,Edmond Bianco,Éditorial: Informatique et paradoxe.,1984.0
6697440,Edmond Bianco,Informatique.,2012.0
6697441,Michel Avezard,Vouzzavedibisar: Dunod.,2014.0
6697442,Jean-Michel Knippel,Vouzzavedibisar: Edmond Bianco.,2005.0
6697443,Edmond Bianco,Éditorial: Echec.,1997.0
6697444,Habiba Drias,Extending the independance notation to the first-order formulas for the satisfiability enumeration.,1996.0
6697445,Jean-Michel Knippel,Les articles d'Edmond Bianco dans le bulletin.,2005.0
6697446,Jean Cea,L'invasion informatique.,2000.0
6697447,Edmond Bianco,La machine a instruction unique.,1990.0
6697448,Serge Halimi,Éditorial: Notre singularité.,2014.0
6697449,Jean-Michel Knippel,Vouzzavedibisar: Séminaires 1992.,1993.0
6697450,Michel Avezard,"Vouzzavedibisar: 3, 75 m.",2014.0
6697451,Joel Chadabe,The multimedia instrument.,2002.0
6697452,Eric Olivier,Vouzzavedibisar: Compression Symbolique.,2001.0
6697453,Patrick Sanchez|Robert Hopp,Traitements informatiques de la notation du jeu instrumental pour instrument de musique mecanique.,1996.0
6697454,Edmond Bianco,"Éditorial: L'économique, l'informatique et le politique.",1997.0
6697455,Edmond Bianco|Jean-Michel Knippel,Qu'entend-on par calculer?,2012.0
6697456,Jòzef Hurwic,Causes et consequences de l'avalanche des publications scientifiques.,1998.0
6697457,Mohamed Tayeb Laskri|Philippe Galand,"Analyse de premiere approche de langage naturel, dans le cadre de l'etude d'un systeme support de thesaurus.",1985.0
6697458,Edmond Bianco,Éditorial: Informatique et devenir.,1992.0
6697459,Edmond Bianco,Éditorial: Déferlement.,1989.0
6697460,Jean-Pierre Archambault|Rémi Boulle,"Éditorial : Faut-il laisser tomber l'allemand, le chinois ou l'es-pagnol et faire code informatique en seconde langue ?",2015.0
6697461,Georges Chappaz|Jean-Pierre Petit,Vouzzavedibisar.,2010.0
6697462,Edmond Bianco,Éditorial: Informatique et compléxité.,2002.0
6697463,José Rouillard,Les enjeux d'un dialogue homme-machine sur internet: l'hyperdialogue.,1999.0
6697464,Edmond Bianco,Vouzzavedibisar: Génération.,1987.0
6697465,Roger Cusin,Mathematiques du multicritere.,1990.0
6697466,Jean-Claude Fumanal,Automate programmable interpreteur de reseaux de Pétri.,1981.0
6697467,Edmond Bianco,Insertion fractionnee.,1993.0
6697468,Louis Frécon,Réverie sur mon clavier.,2013.0
6697470,Michelle Bergadaà,Éditorial.,2010.0
6697471,Edmond Bianco,Vouzzavedibisar: Le temps des juges.,1998.0
6697472,Patrick Isoardi,Contradiction ou indécedabilité: il faut choisir?,2012.0
6697473,André Tricot|Dolly Berdugo|Emmanuelle Puigserver|Mariama Diallo,Evaluation du principe d'economie dans les modeles rationnels de tache de recherche d'information dans un hypertexte.,1997.0
6697474,Eric Olivier,Vouzzavedibisar: Affiche «Les 30 ans du B.I.A.A. Hommage à Edmond Bianco».,2012.0
6697475,Jean-Michel Knippel,Vouzzavedibisar: Le L.I.T.A.M. en quelques mots.,1994.0
6697476,Edmond Bianco,"Vouzzavedibisar: Amour, informatique et virus.",1989.0
6697477,Edmond Bianco,Editorial: De l'an mil à l'an deux mil.,1998.0
6697478,Edmond Bianco,Vouzzavedibisar: Forces de Coriolis.,1988.0
6697479,Patrick Gourdet,Semantique generale.,1998.0
6697480,Jean-Michel Knippel,Éditorial : Le cent et le sang.,2015.0
6697481,Edmond Bianco,Chapitre 7 - le processeur.,1999.0
6697482,Alain Thomas,Conservation de la généricité et de l'aléatoirité.,2012.0
6697484,Edmond Bianco,"Éditorial: Informatique, intelligence.",1999.0
6697485,Jean-Claude Fumanal,Automate programmable.,1982.0
6697486,Jean Lassègue,The Imitation Game : et si vous préfériez l'original ?,2015.0
6697487,Iwan Tabakow,Test generation for sequentiel logic circuits using petri nets.,1994.0
6697488,Edmond Bianco,Vouzzavedibisar: Le temps de la papauté.,1997.0
6697490,André Lentin,"Éditorial: Le jeune Bianco aux prises avec un texte, acte 2.",2012.0
6697491,Jean-Michel Knippel,Proposition d'organisation physique et mecanismes d'interrogation de thesaurus.,1999.0
6697492,Edmond Bianco,Machines formelles et echanges machines de distribution.,1987.0
6697493,Jean-Philippe Lehmann,Glissement d'un hyperpave dans un champ memoire de dimension n.,1985.0
6697494,Edmond Bianco,"Éditorial: Informatique, économie et compagnie (suite 3).",2001.0
6697495,Patrick Isoardi,Vouzzavedibisar: Edmond Bianco en 1997.,2012.0
6697496,Edmond Bianco,Vouzzavedibisar: Les aventures du Vicomte Jacques-Etienne Xavier de l'Or.,1991.0
6697497,Edmond Bianco,Éditorial: L'avènement d'Internet.,1995.0
6697498,Christian Faivre,Approximations décimales et développement en fraction continue.,2014.0
6697499,Edmond Bianco,La machine plate.,1987.0
6697500,Jean-François Peyret,Histoire naturelle de l'esprit (suite et fin).,2003.0
6697501,Charles Duchâteau,Images pour programmer: mais qui est l'executant-ordinateur?,2004.0
6697502,Jean-Philippe Lehmann|Patrick Isoardi,Éditorial: Le système éducatif.,1986.0
6697503,Jean-Michel Knippel,Éditorial : Charles Corge et informatique quantique.,2015.0
6697504,Laurent Tarillon,Éditorial: Il faut revoir le temps de travail des enseignants! Le décret de 1950 est vraiment trop vieux!,2009.0
6697505,Jean-Pierre Petit,Vouzzavedibisar : Informagique.,2016.0
6697507,Jean-Michel Knippel,Éditorial.,2011.0
6697508,Roger Dupuy,Faut-il rendre reelles les machines virtuelles?,1986.0
6697509,Patrick Isoardi,Une nouvelle machine.,1981.0
6697510,Christian Faivre,Approximations décimales et développement en fraction continue.,2012.0
6697511,Edmond Bianco,La recherche et le chercheur.,1982.0
6697512,Edmond Bianco,Vouzzavedibisar: Les aventures d'Edith chef de gang.,1991.0
6697513,Patrick Isoardi,Contradiction ou indécidabilité: il faut choisir! À propos du théorème d'incomplétude de Gödel.,2006.0
6697514,Anne-Lise Courbis|Jean François Santucci,Generation de sequences de test pour les circuits decrits selon une vue comportementale.,1993.0
6697515,Patrick Isoardi,Les systemes informatiques.,1982.0
6697517,Edmond Bianco,Vouzzavedibisar: Colloqueries.,1992.0
6697518,Jean-Michel Knippel,Expression et verification des connaissances thesaurus par les reseaux de petri.,1996.0
6697520,Jean-Michel Knippel,Éditorial: La fondation Mark Gable (extrait).,2012.0
6697521,Jean-Michel Knippel,"Représentations formelles de la phrase Arbres, boîtes de Hockett, grammaires à cases.",2007.0
6697522,Edmond Bianco,"Éditorial: Société, informatique et relaxation.",1990.0
6697523,Jean-Michel Knippel,Vers l'aide a l'acces a un thesaurus systemes de production et reseaux de petri.,1987.0
6697524,Edmond Bianco,Editorial: Utopie.,2005.0
6697525,David Evans 0001|Salim Ghanemi,Computer assisted programming for systolic systems.,1996.0
6697526,Edmond Bianco,Éditorial: Inéluctable.,2003.0
6697527,Alain Thomas,Systèmes de numération et répartition.,2012.0
6697529,Annie Pérez|Michel Cotton,OUPPI-3: une machine SIMD pour les modeles de physique bases sur les automates cellulaires a 2-D.,1995.0
6697530,Jean-Philippe Lehmann|Patrick Isoardi,Glissement d'une fenetre dans un champ memoire continu principes et techniques d'assemblage des materiels standard.,1986.0
6697531,Jean-Pierre Petit,Vouzzavedibisar.,2010.0
6697532,Edmond Bianco,Vouzzavedibisar: Fantaisie.,2007.0
6697533,Edmond Bianco,"Notion de systeme, systeme logiciel et systeme machine (suite).",1985.0
6697534,Jacques Dudon,Vouzzavedibisar: Disque n,2003.0
6697535,Edmond Bianco,Le processeur experimental MCA-0 (suite).,1981.0
6697536,Edmond Bianco,Vouzzavedibisar: Les aventures de Savate premier - Le destin international.,2004.0
6697537,Edmond Bianco,Éditorial: Réalité et irréalité.,1993.0
6697538,Jean-Philippe Lehmann,Une definition du calculable.,1984.0
6697539,Mohamed Tayeb Laskri|Tahar Bouhadada,Un Système Tuteur Utilisant un Compagnon Perturbateur.,2007.0
6697540,Jean-Pierre Petit,La cosmologie newtonnienne (la minute d'Anselme Lanturlu).,2015.0
6697541,Jean-Michel Knippel,Vouzzavedibisar: Le G.F.D.I.F.S.C.,1994.0
6697542,Edmond Bianco,Systeme universel (suite).,1989.0
6697543,André Lentin,Éditorial.,2011.0
6697544,Edmond Bianco,Vouzzavedibisar: Tout.,1987.0
6697545,Edmond Bianco,Éditorial: Intermittence et gouvernance.,2003.0
6697546,Jean-Philippe Lehmann,Sur un resultat de shannon a propos des machines de turing a deux etats.,1984.0
6697547,Louis Frécon,De quelques opérateurs négligés.,2013.0
6697548,Jean-Philippe Lehmann|Patrick Isoardi,Nouvelle structure de memoires adressables par une fenetre a deplacement continu.,1984.0
6697549,Boulanouar Bounabi|Mohamed Tayeb Laskri,Preparation d'une base d'information en vue de son exploitation en langage naturel.,1991.0
6697550,Robert Valette,Exemple des lecteurs et des écrivains. spécifications.,2009.0
