4;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;dblpnote/error;2017-06-08;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24;Unnamed: 25;informal;Unnamed: 27;Unnamed: 28;(error);Unnamed: 30;Unnamed: 31;Unnamed: 32;Unnamed: 33;Unnamed: 34
6611633;Appala Naidu Tentu|Prabal Paul|V. Ch. Venkaiah;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2014.067378;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/TentuPV14;2020-06-05;;;;;4;353-378;;;;;;Computationally perfect compartmented secret sharing schemes based on MDS codes.;;;db/journals/ijtmcc/ijtmcc2.html#TentuPV14;2;2014.0
6611634;Fufang Li|Lingxi Peng|Miao Liu 0005|Waixi Liu 0001|Ying Gao;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2013.056430;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/GaoPLLL13;2022-06-17;;;;;3/4;200-211;;;;;;Archimedean copula-based estimation of distribution algorithm for multi-objective optimisation.;;;db/journals/ijtmcc/ijtmcc1.html#GaoPLLL13;1;2013.0
6611635;K. Chandra Sekaran|Manoj V. Thomas;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2014.064144;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/ThomasS14;2020-06-05;;;;;2;125-149;;;;;;Agent-based approach for identity and access management in the inter-cloud environments.;;;db/journals/ijtmcc/ijtmcc2.html#ThomasS14;2;2014.0
6611636;Animesh Mahata|Biswajit Biswas|Md. Asif Sarfaraj|Palash Mandal|Subhas Barman|Utpal Pal;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2016.10005490;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/BarmanPSBMM16;2020-06-05;;;;;4;336-359;;;;;;A complete literature review on financial fraud detection applying data mining techniques.;;;db/journals/ijtmcc/ijtmcc3.html#BarmanPSBMM16;3;2016.0
6611637;Amanjot Kaur|Varun Dutt;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2013.056428;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/DuttK13;2020-06-05;;;;;3/4;261-273;;;;;;Cyber security: testing the effects of attack strategy, similarity, and experience on cyber attack detection.;;;db/journals/ijtmcc/ijtmcc1.html#DuttK13;1;2013.0
6611638;Bahia Zebbane|Manel Chenait|Nadjib Badache;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2013.056446;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/ZebbaneCB13;2020-06-05;;;;;3/4;320-340;;;;;;GTC: a geographical topology control protocol to conserve energy in wireless sensor networks.;;;db/journals/ijtmcc/ijtmcc1.html#ZebbaneCB13;1;2013.0
6611639;Korra Sathya Babu|Rajesh Pillelli|Sanjay Kumar Jena;;0000-0002-5963-5735;;;;;;;;;https://doi.org/10.1504/IJTMCC.2013.056427;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/BabuPJ13;2020-06-05;;;;;3/4;230-242;;;;;;Enhanced t-closeness for balancing utility and privacy.;;;db/journals/ijtmcc/ijtmcc1.html#BabuPJ13;1;2013.0
6611640;Deepnarayan Tiwari|G. R. Gangadharan|Maode Ma;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2016.10005483;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/TiwariGM16;2020-06-05;;;;;4;291-318;;;;;;Secure delegation of services through proxy signature with revocation.;;;db/journals/ijtmcc/ijtmcc3.html#TiwariGM16;3;2016.0
6611641;Grzegorz Kolaczek|Jerzy Konorski|Krzysztof Cabaj|Pawel Szalachowski|Piotr Pacyna|Zbigniew Kotulski;;0000-0002-1149-7863|0000-0002-5955-5890;;;;;;;;;https://doi.org/10.1504/IJTMCC.2013.056431;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/KonorskiPKKCS13;2021-10-14;;;;;3/4;274-299;;;;;;Theory and implementation of a virtualisation level Future Internet defence in depth architecture.;;;db/journals/ijtmcc/ijtmcc1.html#KonorskiPKKCS13;1;2013.0
6611642;Cécile Paris|Sanat Kumar Bista|Surya Nepal|Wanita Sherchan;;0000-0002-3289-6599;;;;;;;;;https://doi.org/10.1504/IJTMCC.2013.052522;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/NepalPBS13;2020-06-05;;;;;1;3-22;;;;;;A trust model-based analysis of social networks.;;;db/journals/ijtmcc/ijtmcc1.html#NepalPBS13;1;2013.0
6611643;C. Balarengadurai|S. Saraswathi;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2013.056424;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/BalarengaduraiS13;2020-06-05;;;;;3/4;243-260;;;;;;Fuzzy logic-based detection of DDoS attacks in IEEE 802.15.4 low rate wireless personal area network.;;;db/journals/ijtmcc/ijtmcc1.html#BalarengaduraiS13;1;2013.0
6611644;Arti Dwivedi|Ashok Kumar Mittal|Suneet Dwivedi;;0000-0001-9377-7713;;;;;;;;;https://doi.org/10.1504/IJTMCC.2015.076953;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/DwivediMD15;2020-06-05;;;;;2;115-146;;;;;;Role of parameter adaptation in chaotic communication.;;;db/journals/ijtmcc/ijtmcc3.html#DwivediMD15;3;2015.0
6611645;Mohan S. Kankanhalli|Mukesh Kumar Saini|Pradeep K. Atrey|Sharad Mehrotra;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2013.052523;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/SainiAMK13;2020-06-05;;;;;1;23-51;;;;;;Privacy aware publication of surveillance video.;;;db/journals/ijtmcc/ijtmcc1.html#SainiAMK13;1;2013.0
6611646;Jaipal Reddy Anugu|Munaga V. N. K. Prasad;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2016.10002818;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/PrasadA16;2020-06-05;;;;;3;224-245;;;;;;Multi-algorithmic fingerprint model for cancellable template generation.;;;db/journals/ijtmcc/ijtmcc3.html#PrasadA16;3;2016.0
6611647;Jitendra Singh|Rakesh Kumar|Vimal Kumar 0002;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2017.10010538;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/KumarKS17;2020-06-05;;;;;1;17-35;;;;;;An efficient and secure RSA-based certificateless signature scheme for wireless sensor networks.;;;db/journals/ijtmcc/ijtmcc4.html#KumarKS17;4;2017.0
6611648;Kenneth David Strang;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2018.095608;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/Strang18;2020-06-05;;;;;2;95-110;;;;;;Socio-cultural distrust of internet information.;;;db/journals/ijtmcc/ijtmcc4.html#Strang18;4;2018.0
6611649;Ashok Kumar Das|Jamuna Kanta Sing|Santanu Chatterjee;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2014.067303;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/ChatterjeeDS14;2020-06-05;;;;;3;259-295;;;;;;A survey on user access control in wireless sensor networks with formal security verification.;;;db/journals/ijtmcc/ijtmcc2.html#ChatterjeeDS14;2;2014.0
6611650;Brennen Kelly|Kelsey Karpinski|Syed S. Rizvi|Taryn Walker;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2015.076966;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/RizviKKW15;2020-06-05;;;;;2;168-192;;;;;;A user oriented cloud security evaluation framework.;;;db/journals/ijtmcc/ijtmcc3.html#RizviKKW15;3;2015.0
6611651;Arpita Bhargava|Brijesh Kumar Chaurasia|Kapil Sharma|Shekhar Verma;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2017.10010539;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/SharmaCVB17;2020-06-05;;;;;1;36-51;;;;;;Trust computation in VANET using TOEFV.;;;db/journals/ijtmcc/ijtmcc4.html#SharmaCVB17;4;2017.0
6611652;Albert Rego|Christos Gkountis|Jaime Lloret 0001|Laura García;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2017.10010537;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/RegoGGL17;2020-08-25;;;;;1;1-16;;;;;;A new proposal for trust management in wireless sensor networks based on validation.;;;db/journals/ijtmcc/ijtmcc4.html#RegoGGL17;4;2017.0
6611653;Hisham Salah|Mohamed Eltoweissy;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2018.095612;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/SalahE18;2020-06-05;;;;;2;132-171;;;;;;Personalised reconfigurable trust management.;;;db/journals/ijtmcc/ijtmcc4.html#SalahE18;4;2018.0
6611654;Jens Müller 0002|Klemens Böhm;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2014.063274;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/0002B14;2020-06-05;;;;;1;40-77;;;;;;Identity business processes.;;;db/journals/ijtmcc/ijtmcc2.html#0002B14;2;2014.0
6611655;Nick Wainwright|Siani Pearson;;0000-0003-3576-9402;;;;;;;;;https://doi.org/10.1504/IJTMCC.2013.052524;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/PearsonW13;2020-06-05;;;;;1;52-72;;;;;;An interdisciplinary approach to accountability for future internet service provision.;;;db/journals/ijtmcc/ijtmcc1.html#PearsonW13;1;2013.0
6611656;Deepthi P. Pattathil|Nishanth Augustine|Sudhish N. George;;0000-0003-2295-7455;;;;;;;;;https://doi.org/10.1504/IJTMCC.2015.072467;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/AugustineGP15;2020-06-05;;;;;1;74-92;;;;;;An audio encryption technique through compressive sensing and Arnold transform.;;;db/journals/ijtmcc/ijtmcc3.html#AugustineGP15;3;2015.0
6611657;A. Pravin Renold|S. Geethanjali;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2014.063270;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/RenoldG14;2020-06-05;;;;;1;7-21;;;;;;A trust-based AODV routing protocol for improved QoS in mobile ad-hoc networks.;;;db/journals/ijtmcc/ijtmcc2.html#RenoldG14;2;2014.0
6611658;Agrima Srivastava|G. Geethakumari;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2015.072461;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/SrivastavaG15;2020-06-05;;;;;1;19-39;;;;;;Privacy landscape in online social networks.;;;db/journals/ijtmcc/ijtmcc3.html#SrivastavaG15;3;2015.0
6611659;Al-Sakib Khan Pathan;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2014.063272;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/Pathan14;2020-06-05;;;;;1;1-6;;;;;;Editorial article: On the boundaries of trust and security in computing and communications systems.;;;db/journals/ijtmcc/ijtmcc2.html#Pathan14;2;2014.0
6611660;Adrijit Goswami|Ashok Kumar Das|Vanga Odelu;;0000-0001-6903-0361;;;;;;;;;https://doi.org/10.1504/IJTMCC.2013.053278;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/OdeluDG13;2020-06-05;;;;;2;156-174;;;;;;A novel linear polynomial-based dynamic key management scheme for hierarchical access control.;;;db/journals/ijtmcc/ijtmcc1.html#OdeluDG13;1;2013.0
6611661;Dheerendra Mishra|Sourav Mukhopadhyay;;0000-0001-8115-6397;;;;;;;;;https://doi.org/10.1504/IJTMCC.2014.063271;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/MishraM14;2020-06-05;;;;;1;22-39;;;;;;A privacy enabling content distribution framework for digital rights management.;;;db/journals/ijtmcc/ijtmcc2.html#MishraM14;2;2014.0
6611662;G. Geethakumari|K. P. Krishna Kumar;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2014.067306;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/KumarG14;2020-06-05;;;;;3;207-228;;;;;;Analysis and modelling of semantic attacks in online social networks.;;;db/journals/ijtmcc/ijtmcc2.html#KumarG14;2;2014.0
6611663;Jared Oluoch;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2015.076961;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/Oluoch15;2020-06-05;;;;;2;147-167;;;;;;A theoretical framework for trust management in vehicular ad hoc networks.;;;db/journals/ijtmcc/ijtmcc3.html#Oluoch15;3;2015.0
6611664;Jemal H. Abawajy|Soon-Keow Chong;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2015.072455;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/ChongA15;2020-06-05;;;;;1;1-18;;;;;;Mitigating malicious feedback attacks in trust management systems.;;;db/journals/ijtmcc/ijtmcc3.html#ChongA15;3;2015.0
6611665;Md. Imran Alam|Raju Halder;;0000-0002-8873-8258;;;;;;;;;https://doi.org/10.1504/IJTMCC.2016.10002816;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/AlamH16;2022-01-03;;;;;3;193-223;;;;;;Refining dependencies for information flow analysis of database applications.;;;db/journals/ijtmcc/ijtmcc3.html#AlamH16;3;2016.0
6611666;Priyanka Dey|Sarmistha Neogy|Suparna Biswas;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2014.067360;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/BiswasDN14;2020-06-05;;;;;4;379-405;;;;;;Improved recovery probability of mobile hosts using energy and mobility-based secure checkpointing-recovery.;;;db/journals/ijtmcc/ijtmcc2.html#BiswasDN14;2;2014.0
6611667;Bhagyalekshmy N. Thampi|Guillaume Bouffard|Jean-Louis Lanet;;0000-0002-2046-369X;;;;;;;;;https://doi.org/10.1504/IJTMCC.2014.064158;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/BouffardTL14;2020-09-05;;;;;2;185-205;;;;;;Security automaton to mitigate laser-based fault attacks on smart cards.;;;db/journals/ijtmcc/ijtmcc2.html#BouffardTL14;2;2014.0
6611668;BKSP Kumar Raju Alluri|G. Geethakumari|Geetha Meera;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2016.10005491;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/MeeraAG16;2020-06-05;;;;;4;360-372;;;;;;CEAT: a cloud evidence acquisition tool for aiding forensic investigations in cloud systems.;;;db/journals/ijtmcc/ijtmcc3.html#MeeraAG16;3;2016.0
6611669;Anant V. Nimkar|Soumya K. Ghosh 0001;;0000-0002-3904-2924;;;;;;;;;https://doi.org/10.1504/IJTMCC.2018.095609;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/NimkarG18;2022-04-09;;;;;2;111-131;;;;;;Caucus: an authentication protocol for cloud federation.;;;db/journals/ijtmcc/ijtmcc4.html#NimkarG18;4;2018.0
6611670;Arunkumar Thangavelu|Debi Prasanna Acharjya|K. Senthil Kumar;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2013.053259;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/KumarAT13;2020-06-05;;;;;2;105-120;;;;;;Trust evaluation using fuzzy proximity relation with ordering for MANET.;;;db/journals/ijtmcc/ijtmcc1.html#KumarAT13;1;2013.0
6611671;Enrico Cambiaso|Gianluca Papaleo|Giovanni Chiola|Maurizio Aiello;;0000-0002-6932-1975;;;;;;;;;https://doi.org/10.1504/IJTMCC.2013.056440;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/CambiasoPCA13;2020-06-05;;;;;3/4;300-319;;;;;;Slow DoS attacks: definition and categorisation.;;;db/journals/ijtmcc/ijtmcc1.html#CambiasoPCA13;1;2013.0
6611672;A. Christy|Rangareddy Jayashree|S. Venkatesh;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2018.095621;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/JayashreeCV18;2020-06-05;;;;;2;172-191;;;;;;Personalised recommendation system for ranking in question-answering websites with splay tree by avoiding tumbleweed badge.;;;db/journals/ijtmcc/ijtmcc4.html#JayashreeCV18;4;2018.0
6611673;Nilesh Chakraborty|Samrat Mondal;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2014.067375;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/ChakrabortyM14;2020-06-05;;;;;4;309-329;;;;;;I-SLASS: an improved login approach over SLASS.;;;db/journals/ijtmcc/ijtmcc2.html#ChakrabortyM14;2;2014.0
6611674;Nilesh Chakraborty|Samrat Mondal;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2015.076952;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/ChakrabortyM15;2020-06-05;;;;;2;93-114;;;;;;HoneyString: an improved methodology over tag digit-based honeypot to detect shoulder surfing attack.;;;db/journals/ijtmcc/ijtmcc3.html#ChakrabortyM15;3;2015.0
6611675;Kamel Saddiki|Marc Gilg|Pascal Lorenz|Sofiane Boukli Hacene;;0000-0002-9760-3806|0000-0003-4322-4947;;;;;;;;;https://doi.org/10.1504/IJTMCC.2017.10010575;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/SaddikiHLG17;2020-06-05;;;;;1;75-93;;;;;;Black hole attack detection and ignoring in OLSR protocol.;;;db/journals/ijtmcc/ijtmcc4.html#SaddikiHLG17;4;2017.0
6611676;Anand Singh Jalal|Charul Bhatnagar|Soumendu Chakraborty;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2013.053263;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/ChakrabortyJB13;2020-06-05;;;;;2;140-155;;;;;;An efficient bit plane X-OR algorithm for irreversible image steganography.;;;db/journals/ijtmcc/ijtmcc1.html#ChakrabortyJB13;1;2013.0
