DOI,author,author-aux,author ID,booktitle,cdate,cdrom,cite,cite-label,crossref,editor,editor-orcid,ee,ee-type,i,journal,key,mdate,month,note,note-label,note-type,number,pages,publisher,publnr,publtype,sub,venue,title,title-bibtex,tt,url,volume,year,edition_venue,chair,abstract,corresponding_author
4106084,Andrzej Cichocki|Dimitrios Georgakopoulos|Donald Baker|Marian H. Nodine,data storage,0000-0001-7880-2140,,,,,,,,,https://doi.org/10.1007/s11280-006-0015-4,,,World Wide Web,conf/www/GeorgakopoulosBNC07,2020-10-25,,,,,1,85-109,,,,,C,Event-driven Video Awareness Providing Physical Security.,,,db/journals/www/www10.html#GeorgakopoulosBNC07,,2007,FullPaper,Krista Barker,Quiquia est est voluptatem consectetur sed porro. Magnam ut quiquia non sed. Numquam sit ut neque. Sit consectetur ipsum eius. Porro sed neque est voluptatem adipisci labore ut.,Andrzej Cichocki
4107408,Istvan Beszteri|Petri Vuorimaa,data querying,,,,,,,,Kenneth Stevenson,,https://doi.org/10.1007/s11280-006-0008-3,,,World Wide Web,conf/www/BeszteriV07,2017-05-23,,,,,1,1-35,,,,,J,Vertical Navigation of Layout Adapted Web Documents.,,,db/journals/www/www10.html#BeszteriV07,,2007,FullPaper,,Quaerat amet quaerat velit. Quaerat etincidunt sit sit quiquia porro quisquam ipsum. Consectetur non etincidunt dolore. Amet etincidunt dolor dolor neque etincidunt adipisci. Labore amet dolore voluptatem dolore numquam. Voluptatem velit numquam quaerat quisquam ut. Quisquam neque adipisci porro consectetur.,Istvan Beszteri
4107466,Jean-Philippe Martin-Flatin|Welf Löwe,data processing,,,,,,,,Stephen Bowers,,https://doi.org/10.1007/s11280-007-0035-8,,,World Wide Web,conf/www/Martin-FlatinL07,2017-05-23,,,,,3,205-209,,,,,W,Special Issue on Recent Advances in Web Services.,,,db/journals/www/www10.html#Martin-FlatinL07,,2007,DemoPaper,,Labore neque sed est eius. Porro quaerat consectetur aliquam. Etincidunt quisquam quaerat dolore. Magnam aliquam voluptatem ut consectetur dolor. Quisquam labore est sed quisquam quaerat quaerat tempora.,Jean-Philippe Martin-Flatin
4108256,Jeffrey Scott Vitter|Lipyeow Lim|Min Wang 0001|Ramesh C. Agarwal|Sriram Padmanabhan,data processing,0000-0001-7970-6118,,,,,,,,,https://doi.org/10.1007/s11280-006-0009-2,,,World Wide Web,conf/www/LimWPVA07,2023-03-21,,,,,1,37-69,,,,,C,Efficient Update of Indexes for Dynamically Changing Web Documents.,,,db/journals/www/www10.html#LimWPVA07,,2007,FullPaper,Dana Jones,Dolore magnam ut eius consectetur quisquam ipsum. Numquam amet adipisci porro. Modi neque voluptatem aliquam est sed ut. Tempora quaerat labore voluptatem sed. Quiquia adipisci dolorem ipsum est sed aliquam. Est dolor tempora quisquam numquam dolore eius. Quaerat numquam est velit porro numquam. Magnam quiquia sed amet porro sit velit. Etincidunt ut numquam sit etincidunt amet dolore. Dolor eius etincidunt quaerat.,Jeffrey Scott Vitter
5501558,Mohammad Arif Ul Alam|Nilavra Pathak|Nirmalya Roy,indexing,,,,,,,,Andrew Kim,,https://doi.org/10.4108/eai.22-7-2015.2260073,,,EAI Endorsed Trans. Ubiquitous Environ.,conf/mobiquitous/AlamPR15,2020-04-24,,,,,7,e2,,,,,J,Mobeacon: An iBeacon-Assisted Smartphone-Based Real Time Activity Recognition Framework.,,,db/journals/ue/ue2.html#AlamPR15,2,2015,FullPaper,,Labore quiquia quisquam dolorem. Aliquam sit magnam dolor neque dolor eius. Dolor magnam est sit velit dolorem. Amet consectetur eius numquam velit porro non. Sit ipsum non consectetur. Dolore voluptatem quiquia numquam est non tempora. Etincidunt numquam non aliquam tempora velit. Quaerat modi est modi.,Mohammad Arif Ul Alam
6237190,Emilio Coppa,big data,0000-0002-8094-871X,,,,,,,Pedro Blair,,https://doi.org/10.4108/icst.valuetools.2014.258172,,,EAI Endorsed Trans. Ubiquitous Environ.,conf/valuetools/Coppa14,2022-04-09,,,,,7,e5,,,,,W,An interactive visualization framework for performance analysis.,,,db/journals/ue/ue2.html#Coppa14,2,2015,FullPaper,,Magnam quaerat quiquia est numquam eius. Quisquam labore magnam tempora aliquam consectetur modi velit. Numquam ipsum porro ut modi neque velit. Numquam quiquia ipsum eius tempora dolor etincidunt. Neque ut ipsum velit dolorem quiquia dolorem aliquam.,Emilio Coppa
6697269,Arnab Raha|Dieter Hogrefe|Mrinal Kanti Naskar|Omar Alfandi|Shaik Sahil Babu,data storage,0000-0002-9581-401X,,,,,,,,,https://doi.org/10.1504/IJTMCC.2014.064142,,,Int. J. Trust. Manag. Comput. Commun.,journals/ijtmcc/BabuRAHN14,2020-12-29,,,,,2,103-124,,,,,C,Trust integrated node potential aware routing for WSNs.,,,db/journals/ijtmcc/ijtmcc2.html#BabuRAHN14,2,2014,Poster,Courtney Chen,Amet quiquia quaerat quaerat dolorem dolor magnam. Eius velit porro sit. Consectetur quisquam labore tempora neque quisquam velit. Dolor voluptatem tempora dolorem magnam porro. Neque tempora numquam adipisci sed. Neque amet neque amet porro.,Arnab Raha
6697270,Anant V. Nimkar|Soumya K. Ghosh 0001,data modeling,0000-0002-3904-2924,,,,,,,,,https://doi.org/10.1504/IJTMCC.2014.067369,,,Int. J. Trust. Manag. Comput. Commun.,journals/ijtmcc/NimkarG14,2022-04-09,,,,,4,330-352,,,,,C,An access control model for cloud-based EMR federation.,,,db/journals/ijtmcc/ijtmcc2.html#NimkarG14,2,2014,Poster,Eugene Harvey,Porro porro adipisci neque etincidunt magnam. Sit dolor aliquam est. Ipsum etincidunt ipsum magnam ipsum modi magnam. Sit magnam tempora ut dolorem. Dolorem sit porro sed ut consectetur dolorem. Dolor velit sed velit dolor dolore dolorem aliquam. Ut dolore consectetur aliquam eius non. Tempora quaerat porro voluptatem dolore adipisci etincidunt quisquam.,Anant V. Nimkar
6697271,Jeril Kuriakose|Sandeep Joshi,indexing,,,,,,,,,,https://doi.org/10.1504/IJTMCC.2016.10002828,,,Int. J. Trust. Manag. Comput. Commun.,journals/ijtmcc/KuriakoseJ16,2020-06-05,,,,,3,246-268,,,,,C,Secured MPR node selection in the presence of cheating nodes.,,,db/journals/ijtmcc/ijtmcc3.html#KuriakoseJ16,3,2016,Poster,Teresa Johnson,Quaerat sit tempora dolorem non tempora aliquam. Dolore eius dolorem ipsum. Voluptatem sit quaerat velit tempora dolorem tempora. Quisquam non sit tempora labore quiquia adipisci. Dolore quiquia dolor quaerat. Dolor quiquia dolor adipisci amet eius dolorem neque. Tempora etincidunt ipsum non. Sit adipisci sed porro ipsum aliquam. Sit etincidunt quiquia quisquam amet amet eius.,Jeril Kuriakose
6697272,Julita Vassileva|Sabrina Nusrat,data storage,,,,,,,,,,https://doi.org/10.1504/IJTMCC.2013.053262,,,Int. J. Trust. Manag. Comput. Commun.,journals/ijtmcc/NusratV13,2020-06-05,,,,,2,121-139,,,,,C,Simulating a trust-based service recommender system for decentralised user modelling environment.,,,db/journals/ijtmcc/ijtmcc1.html#NusratV13,1,2013,FullPaper,Erica Powers,Porro dolor dolorem modi quaerat. Tempora etincidunt quiquia eius porro voluptatem dolor. Porro eius amet eius porro adipisci sit. Sit sed dolorem eius. Dolorem voluptatem eius modi tempora neque tempora ut. Sit magnam amet etincidunt tempora. Etincidunt non sed modi. Quiquia etincidunt labore modi. Sed tempora ipsum porro.,Julita Vassileva
6697273,Ashok Kumar Das|Jamuna Kanta Sing|Santanu Chatterjee,big data,,,,,,,,Lacey Cannon DVM,,https://doi.org/10.1504/IJTMCC.2014.063273,,,Int. J. Trust. Manag. Comput. Commun.,journals/ijtmcc/DasCS14,2020-06-05,,,,,1,78-102,,,,,W,Formal security analysis and verification of a password-based user authentication scheme for hierarchical wireless sensor networks.,,,db/journals/ijtmcc/ijtmcc2.html#DasCS14,2,2014,ShortPaper,,Consectetur quisquam amet adipisci magnam sit quiquia quiquia. Sed dolor velit velit quaerat dolore. Eius amet tempora quiquia non. Quaerat sit ipsum sit sed numquam quaerat dolorem. Aliquam amet velit aliquam sed.,Ashok Kumar Das
6697274,Mulagala Sandhya|Munaga V. N. K. Prasad,data modeling,,,,,,,,Jose Burns,,https://doi.org/10.1504/IJTMCC.2016.10005484,,,Int. J. Trust. Manag. Comput. Commun.,journals/ijtmcc/SandhyaP16,2020-06-05,,,,,4,319-335,,,,,W,A hybrid technique to secure fingerprint templates using Delaunay neighbour structures.,,,db/journals/ijtmcc/ijtmcc3.html#SandhyaP16,3,2016,FullPaper,,Velit numquam sit amet adipisci non dolore eius. Tempora velit dolor quisquam sed. Etincidunt tempora neque numquam eius velit aliquam. Quiquia ut etincidunt est. Adipisci numquam porro dolorem. Ut est est dolor ipsum eius. Etincidunt dolor est quiquia ut etincidunt amet. Numquam ipsum porro est non tempora non. Dolor dolorem quaerat dolor.,Mulagala Sandhya
6697275,Leila Kheroua|Louiza Mansour|Samira Moussaoui,data querying,,,,,,,,Samantha Maxwell,,https://doi.org/10.1504/IJTMCC.2013.052526,,,Int. J. Trust. Manag. Comput. Commun.,journals/ijtmcc/KherouaMM13,2020-06-05,,,,,1,73-84,,,,,N,EDARD: efficient data access based on rumour dissemination in wireless sensor networks.,,,db/journals/ijtmcc/ijtmcc1.html#KherouaMM13,1,2013,ShortPaper,,Amet aliquam quiquia amet labore. Amet quiquia amet adipisci etincidunt quisquam eius. Neque ut quaerat sit velit dolore eius etincidunt. Adipisci sed tempora dolor. Dolor labore aliquam ipsum quiquia sed. Dolorem consectetur aliquam magnam ut dolore modi. Etincidunt etincidunt amet porro neque velit velit neque. Voluptatem sed porro quiquia modi amet sit. Modi quisquam porro neque sit dolore quaerat.,Leila Kheroua
6697276,Ajith Abraham|Mrutyunjaya Panda,data management,,,,,,,,,,https://doi.org/10.1504/IJTMCC.2014.067305,,,Int. J. Trust. Manag. Comput. Commun.,journals/ijtmcc/PandaA14,2020-06-05,,,,,3,229-258,,,,,C,Development of a reliable trust management model in social internet of things.,,,db/journals/ijtmcc/ijtmcc2.html#PandaA14,2,2014,FullPaper,Robert Leach,Tempora adipisci etincidunt dolore ut. Non labore velit sit porro quisquam amet aliquam. Sit etincidunt amet aliquam. Numquam tempora dolor labore. Quisquam dolore dolorem aliquam magnam labore consectetur consectetur. Modi porro dolore voluptatem ipsum consectetur ipsum. Velit voluptatem numquam numquam adipisci. Etincidunt quiquia modi adipisci.,Ajith Abraham
6697277,Appala Naidu Tentu|Prabal Paul|V. Ch. Venkaiah,Delay-dependent,,,,,,,,,,https://doi.org/10.1504/IJTMCC.2014.067378,,,Int. J. Trust. Manag. Comput. Commun.,journals/ijtmcc/TentuPV14,2020-06-05,,,,,4,353-378,,,,,C,Computationally perfect compartmented secret sharing schemes based on MDS codes.,,,db/journals/ijtmcc/ijtmcc2.html#TentuPV14,2,2014,Poster,Cynthia Turner,Modi quaerat adipisci labore voluptatem aliquam. Etincidunt quisquam quisquam quaerat tempora ipsum sed amet. Tempora adipisci est dolor velit aliquam ut. Non dolorem voluptatem adipisci numquam voluptatem. Porro porro voluptatem neque ipsum dolor magnam. Dolore dolore tempora numquam est. Consectetur eius eius sed dolorem ipsum.,Appala Naidu Tentu
6697278,Fufang Li|Lingxi Peng|Miao Liu 0005|Waixi Liu 0001|Ying Gao,big data,,,,,,,,Katherine Parker,,https://doi.org/10.1504/IJTMCC.2013.056430,,,Int. J. Trust. Manag. Comput. Commun.,journals/ijtmcc/GaoPLLL13,2022-06-17,,,,,3/4,200-211,,,,,N,Archimedean copula-based estimation of distribution algorithm for multi-objective optimisation.,,,db/journals/ijtmcc/ijtmcc1.html#GaoPLLL13,1,2013,DemoPaper,,Dolore sed amet aliquam. Non tempora non adipisci adipisci. Eius voluptatem dolorem ipsum porro. Dolorem ipsum velit adipisci modi. Neque etincidunt sed amet tempora. Non aliquam numquam voluptatem numquam dolorem. Numquam magnam aliquam est consectetur. Consectetur etincidunt eius ipsum voluptatem est eius. Quaerat consectetur sit ut quisquam sit.,Fufang Li
6697279,K. Chandrasekaran 0001|Manoj V. Thomas,data querying,,,,,,,,,,https://doi.org/10.1504/IJTMCC.2014.064144,,,Int. J. Trust. Manag. Comput. Commun.,journals/ijtmcc/ThomasS14,2023-03-09,,,,,2,125-149,,,,,C,Agent-based approach for identity and access management in the inter-cloud environments.,,,db/journals/ijtmcc/ijtmcc2.html#ThomasS14,2,2014,Poster,Terry Scott,Dolor voluptatem etincidunt voluptatem labore sed ipsum neque. Quisquam modi quisquam etincidunt tempora eius. Eius aliquam est voluptatem adipisci. Aliquam sed sed voluptatem sit. Porro ut amet numquam consectetur labore. Labore eius ipsum adipisci modi dolor quiquia dolor. Voluptatem porro sed aliquam tempora tempora. Velit quiquia est quiquia amet quaerat quisquam ut. Ut eius neque dolorem eius dolorem.,K. Chandrasekaran 0001
6697280,Animesh Mahata|Biswajit Biswas|Md. Asif Sarfaraj|Palash Mandal|Subhas Barman|Utpal Pal,indexing,,,,,,,,Thomas Chapman,,https://doi.org/10.1504/IJTMCC.2016.10005490,,,Int. J. Trust. Manag. Comput. Commun.,journals/ijtmcc/BarmanPSBMM16,2020-06-05,,,,,4,336-359,,,,,J,A complete literature review on financial fraud detection applying data mining techniques.,,,db/journals/ijtmcc/ijtmcc3.html#BarmanPSBMM16,3,2016,DemoPaper,,Voluptatem voluptatem quiquia dolorem sit. Magnam tempora labore ipsum magnam ut porro ipsum. Dolore dolor adipisci quisquam. Adipisci labore dolorem porro sit etincidunt ut non. Sit dolor neque quiquia labore amet dolorem dolore.,Animesh Mahata
6697281,Amanjot Kaur|Varun Dutt,data management,,,,,,,,,,https://doi.org/10.1504/IJTMCC.2013.056428,,,Int. J. Trust. Manag. Comput. Commun.,journals/ijtmcc/DuttK13,2020-06-05,,,,,3/4,261-273,,,,,C,"Cyber security: testing the effects of attack strategy, similarity, and experience on cyber attack detection.",,,db/journals/ijtmcc/ijtmcc1.html#DuttK13,1,2013,DemoPaper,Sarah Garcia,Magnam ipsum amet porro dolorem sed. Quiquia consectetur est modi consectetur quisquam. Aliquam consectetur tempora est aliquam. Quaerat numquam eius est adipisci adipisci neque. Velit amet velit sed quisquam modi quisquam. Consectetur tempora adipisci porro. Ut consectetur neque velit eius. Voluptatem quiquia tempora quaerat modi dolorem. Consectetur labore labore eius quisquam. Quiquia velit neque ipsum dolorem.,Amanjot Kaur
6697282,Bahia Zebbane|Manel Chenait|Nadjib Badache,big data,,,,,,,,Gregory Clark,,https://doi.org/10.1504/IJTMCC.2013.056446,,,Int. J. Trust. Manag. Comput. Commun.,journals/ijtmcc/ZebbaneCB13,2020-06-05,,,,,3/4,320-340,,,,,J,GTC: a geographical topology control protocol to conserve energy in wireless sensor networks.,,,db/journals/ijtmcc/ijtmcc1.html#ZebbaneCB13,1,2013,ShortPaper,,Ipsum dolor voluptatem voluptatem porro magnam consectetur. Sed dolore est adipisci quisquam. Aliquam dolor ipsum quaerat. Non voluptatem sit ipsum porro. Porro eius ipsum aliquam.,Bahia Zebbane
6697283,Korra Sathya Babu|Rajesh Pillelli|Sanjay Kumar Jena,data processing,0000-0002-5963-5735,,,,,,,,,https://doi.org/10.1504/IJTMCC.2013.056427,,,Int. J. Trust. Manag. Comput. Commun.,journals/ijtmcc/BabuPJ13,2020-06-05,,,,,3/4,230-242,,,,,C,Enhanced t-closeness for balancing utility and privacy.,,,db/journals/ijtmcc/ijtmcc1.html#BabuPJ13,1,2013,DemoPaper,Bryan Brennan,Dolore dolor porro non. Adipisci sed numquam quaerat non labore. Sit numquam tempora est dolor eius labore. Quisquam porro sed aliquam. Velit modi etincidunt dolore consectetur. Quaerat dolor porro sit numquam etincidunt. Magnam tempora eius sit. Etincidunt non neque quisquam quaerat dolore. Quisquam quiquia modi quiquia velit voluptatem voluptatem. Quiquia sed voluptatem dolor adipisci.,Korra Sathya Babu
6697284,Deepnarayan Tiwari|G. R. Gangadharan|Maode Ma,data modeling,,,,,,,,,,https://doi.org/10.1504/IJTMCC.2016.10005483,,,Int. J. Trust. Manag. Comput. Commun.,journals/ijtmcc/TiwariGM16,2020-06-05,,,,,4,291-318,,,,,C,Secure delegation of services through proxy signature with revocation.,,,db/journals/ijtmcc/ijtmcc3.html#TiwariGM16,3,2016,ShortPaper,Kim Murphy,Voluptatem amet voluptatem velit labore tempora. Adipisci velit est voluptatem labore sit dolorem. Adipisci etincidunt eius est quiquia. Porro consectetur labore quaerat porro numquam. Sit magnam numquam non etincidunt. Eius eius sed non dolorem consectetur. Quisquam adipisci dolor quiquia adipisci eius.,Deepnarayan Tiwari
6697285,Grzegorz Kolaczek|Jerzy Konorski|Krzysztof Cabaj|Pawel Szalachowski|Piotr Pacyna|Zbigniew Kotulski,data storage,0000-0002-1149-7863|0000-0002-5955-5890,,,,,,,Tiffany Bridges,,https://doi.org/10.1504/IJTMCC.2013.056431,,,Int. J. Trust. Manag. Comput. Commun.,journals/ijtmcc/KonorskiPKKCS13,2021-10-14,,,,,3/4,274-299,,,,,J,Theory and implementation of a virtualisation level Future Internet defence in depth architecture.,,,db/journals/ijtmcc/ijtmcc1.html#KonorskiPKKCS13,1,2013,DemoPaper,,Porro consectetur velit sed. Eius quiquia amet amet. Quisquam etincidunt adipisci non. Labore quaerat neque porro velit modi. Amet modi dolorem est numquam.,Grzegorz Kolaczek
6697286,Cécile Paris|Sanat Kumar Bista|Surya Nepal|Wanita Sherchan,data modeling,0000-0002-3289-6599,,,,,,,,,https://doi.org/10.1504/IJTMCC.2013.052522,,,Int. J. Trust. Manag. Comput. Commun.,journals/ijtmcc/NepalPBS13,2020-06-05,,,,,1,3-22,,,,,C,A trust model-based analysis of social networks.,,,db/journals/ijtmcc/ijtmcc1.html#NepalPBS13,1,2013,FullPaper,Kenneth Patrick,Eius aliquam ipsum dolorem etincidunt est. Ipsum labore adipisci velit numquam dolor eius. Dolor numquam quisquam porro porro consectetur magnam amet. Neque quisquam amet quaerat ipsum. Porro ut adipisci non eius velit voluptatem voluptatem. Non consectetur etincidunt magnam eius. Ipsum etincidunt dolor porro etincidunt modi.,Cécile Paris
6697287,C. Balarengadurai|S. Saraswathi,indexing,,,,,,,,Megan Moore,,https://doi.org/10.1504/IJTMCC.2013.056424,,,Int. J. Trust. Manag. Comput. Commun.,journals/ijtmcc/BalarengaduraiS13,2020-06-05,,,,,3/4,243-260,,,,,J,Fuzzy logic-based detection of DDoS attacks in IEEE 802.15.4 low rate wireless personal area network.,,,db/journals/ijtmcc/ijtmcc1.html#BalarengaduraiS13,1,2013,DemoPaper,,Dolorem ut quisquam sit ut voluptatem porro. Dolore aliquam dolorem dolore dolorem numquam eius. Ut dolor non aliquam etincidunt. Est eius dolor non sit etincidunt adipisci dolore. Labore ipsum porro ipsum quiquia dolore est. Porro aliquam dolore eius tempora tempora. Consectetur adipisci numquam consectetur numquam. Quisquam est tempora porro tempora adipisci. Tempora sed velit amet est eius.,C. Balarengadurai
6697288,Arti Dwivedi|Ashok Kumar Mittal|Suneet Dwivedi,indexing,0000-0001-9377-7713,,,,,,,Tracy Boyd,,https://doi.org/10.1504/IJTMCC.2015.076953,,,Int. J. Trust. Manag. Comput. Commun.,journals/ijtmcc/DwivediMD15,2020-06-05,,,,,2,115-146,,,,,J,Role of parameter adaptation in chaotic communication.,,,db/journals/ijtmcc/ijtmcc3.html#DwivediMD15,3,2015,DemoPaper,,Numquam sit dolore non eius non quisquam ut. Quaerat aliquam quaerat quaerat est sed. Non amet porro quisquam ut amet. Voluptatem dolor etincidunt ut aliquam. Dolor amet tempora etincidunt modi consectetur eius. Labore est neque dolorem velit. Non aliquam dolore ut ipsum. Labore ut voluptatem ut sit magnam. Etincidunt quisquam porro consectetur est. Quisquam labore neque neque.,Arti Dwivedi
