DOI,AuthorName,Author-orcid,VenueType,Title,YearPublished,PaperType,Abstract,EditorName,ChairName,ConfName,ConfType,JournalName,ReviewerName1,ReviewerName2,ReviewText1,ReviewText2,ReviewDecision1,ReviewDecision2,FinalDecision,Keywords,VolumeNr,IndexNr,Citation_DOI,Area,Affiliation,YearsReviewerExperience1,YearsReviewerExperience2,ManagesProductionProcess,ManagesPanelsContent,Frequency,JournalImpactFactor
6697305,Dheerendra Mishra|Sourav Mukhopadhyay,604-17759-8|9731446-5-8,J,A privacy enabling content distribution framework for digital rights management.,2014,ShortPaper,Quisquam quisquam sit sed. Eius sit est adipisci voluptatem. Magnam sed modi non eius. Voluptatem magnam magnam sed. Magnam velit quiquia neque. Aliquam est aliquam numquam voluptatem. Sed eius quaerat magnam amet tempora sed non.,Daniel Wilczak,,,,Persistent full-range protocol,Debasish Chatterjee,Kai Du,Adipisci dolor quaerat sit.,Voluptatem dolorem velit dolore.,True,True,True,Polynomial-time|Passivity-based|ε-Insensitizing|Event-triggered|Vision-Enhanced,480,,6701622,data querying,"Adkins, Hendrix and Gonzalez|Young-Smith",3,4,False,,,3.917865468689757
6697309,Md. Imran Alam|Raju Halder,11-634142-4|545-24640-X,J,Refining dependencies for information flow analysis of database applications.,2016,FullPaper,Eius velit ipsum dolorem. Est aliquam voluptatem sit labore sit eius modi. Dolorem non voluptatem neque neque adipisci ut numquam. Velit quaerat voluptatem modi. Tempora quaerat non non quisquam velit dolorem magnam. Porro labore ut velit quisquam. Etincidunt velit sit etincidunt.,Lara Codeca,,,,Sharable client-driven extranet,Erhan Bayraktar,Jan H. van Schuppen,Ut consectetur numquam labore amet.,Voluptatem non consectetur est quaerat etincidunt quiquia.,True,True,True,Synchronization|Synchronization|Controllability|Event-triggered|Output-feedback,882,,6700419,data modeling,Cruz-Briggs|Leonard-Humphrey,6,5,False,,,14.47457418644139
6697311,Bhagyalekshmy N. Thampi|Guillaume Bouffard|Jean-Louis Lanet,568-10920-3|19-073824-2|85580-098-5,C,Security automaton to mitigate laser-based fault attacks on smart cards.,2014,ShortPaper,Non aliquam dolor non quisquam velit dolore. Quaerat amet ut numquam quaerat ipsum. Etincidunt quisquam quaerat quisquam velit dolore dolore consectetur. Quiquia ipsum sit modi quiquia dolorem ut sed. Velit amet non quiquia quaerat. Sit velit quisquam velit dolor tempora adipisci numquam. Numquam porro ipsum etincidunt dolor ut.,,Feng Liu 0014,Persevering non-volatile core,E,,Diego Napp Avelli,Eduardo E. Paolini,Sit sed magnam quaerat consectetur ipsum.,Amet voluptatem quiquia etincidunt dolor amet neque quiquia.,True,True,True,"Synchronization|Softwarization,|Passivity-based|data querying|Event-triggered",,1725,6702285,big data,"Morgan-Allen|Bates, Weber and Horton|Bailey-Pace",1,3,,True,biennial,
6697313,Anant V. Nimkar|Soumya K. Ghosh 0001,279-77352-X|8380-1168-1,C,Caucus: an authentication protocol for cloud federation.,2018,FullPaper,Quaerat velit ipsum aliquam dolore neque adipisci non. Neque quisquam velit adipisci velit numquam. Eius numquam eius dolor labore quiquia dolorem quaerat. Velit magnam tempora quiquia. Eius consectetur aliquam velit dolore. Non quisquam non numquam magnam amet consectetur dolore.,,Francisco Periago,Public-key homogeneous superstructure,E,,Gongbin Qian,Guilherme Mazanti,Ipsum dolor dolore tempora modi velit.,Dolore quisquam ut sit numquam consectetur.,True,True,True,Controllability|Interconnection|Event-triggered|Safety-critical|Controllability,,3917,6697333,big data,"Scott Inc|Davis, Ward and Watts",6,7,,True,biennial,
6697315,Enrico Cambiaso|Gianluca Papaleo|Giovanni Chiola|Maurizio Aiello,06-678426-8|610-86744-7|440-42996-5|211-93720-4,J,Slow DoS attacks: definition and categorisation.,2013,DemoPaper,Consectetur aliquam neque sit quaerat quisquam est. Magnam consectetur non amet ipsum labore modi. Aliquam dolor quaerat eius. Dolor ipsum amet modi numquam etincidunt ipsum voluptatem. Dolore dolore magnam ut sed ut. Adipisci dolorem modi etincidunt consectetur. Tempora porro est neque. Velit modi tempora tempora est ipsum. Magnam quisquam quaerat magnam amet ut.,Ignacio Peñarrocha,,,,Compatible user-facing open architecture,A. A. Kosov,Dorothée Normand-Cyrot,Quisquam ipsum dolore sit porro sit quiquia.,Quiquia eius sit etincidunt aliquam magnam ipsum.,True,False,False,Leader-follower|Nonovershooting|Delay-dependent|Event-triggered|Coordinate-free,988,,6698621,indexing,Gray PLC|Wilson Group|Walker Ltd|Watson-Flynn,7,3,False,,,5.082229935400967
6697319,Kamel Saddiki|Marc Gilg|Pascal Lorenz|Sofiane Boukli Hacene,918623-03-1|466-92371-1|01-690558-9|363-52927-2,C,Black hole attack detection and ignoring in OLSR protocol.,2017,ShortPaper,Quiquia eius sed quaerat. Etincidunt adipisci aliquam etincidunt velit tempora. Non voluptatem modi aliquam dolorem dolorem. Non etincidunt labore dolore eius modi dolor velit. Ipsum eius aliquam numquam. Magnam magnam ipsum non dolor consectetur est neque. Dolorem velit dolor numquam.,,Bernard Bonnard,Exclusive methodical collaboration,E,,Carlota Salinas Maldonado,Kurt Stenzel,Eius sed quaerat voluptatem dolore magnam.,Sit non velit neque labore.,True,True,True,Output-feedback|Controllability|Polynomial-time|Parametrization|Output-feedback,,5261,6701149,data management,"Reynolds-Jones|Sullivan-Macdonald|Sherman, Solomon and Burton|Richardson-Chang",8,1,,True,triennial,
6697324,Punam Bedi|Richa Sharma|V. Aakanksha,598-42175-3|655-02471-1|336-64216-6,C,Trust and context view-based knowledge sharing in MANets.,2013,Poster,Labore est ipsum quisquam sed numquam. Consectetur aliquam neque quiquia quaerat ipsum. Eius voluptatem est dolor labore sed quaerat. Est porro porro adipisci. Amet quaerat adipisci dolor. Sed magnam numquam tempora modi porro non. Velit modi quaerat ut eius dolorem. Amet numquam aliquam sed. Porro dolor quiquia numquam.,,Andrei A. Agrachev,Diverse upward-trending methodology,E,,Danya Yao,Qiang Du 0001,Tempora sit etincidunt dolor dolore tempora.,Etincidunt etincidunt quisquam sit voluptatem magnam modi velit.,False,True,False,Event-triggered|Continuous-time|database|Controllability|Stabilizability,,7634,6698081,data management,Delgado Inc|Gibbs Group|Gonzalez Group,5,1,,False,irregular,
6697329,Christian Hicks|Pupong Pongcharoen|Srisatja Vitayasak,89519-616-5|02-308218-4|677-70110-5,C,Robust machine layout design under dynamic environment: Dynamic customer demand and machine maintenance.,2019,DemoPaper,Sed labore dolore modi numquam. Etincidunt modi dolorem quaerat. Labore modi est dolore. Sed quiquia amet modi tempora tempora non. Sed adipisci sit porro non eius quiquia sit.,,Arturo Buscarino,Customizable encompassing flexibility,S,,Akihiko Ohsuga,Aldo Cipriano,Sit quaerat magnam ut.,Velit etincidunt sed ipsum dolorem.,True,True,True,Delay-dependent|Controllability|Output-feedback|Event-triggered|Controllability,,5568,6701944,database,Everett-Scott|Reynolds-Jones|Anthony Group,4,5,,False,annual,
6697330,Eynollah Khanjari|Nasrin Kalanat,335-45400-1|12-224922-2,C,Extracting actionable knowledge from social networks with node attributes.,2019,ShortPaper,Eius quisquam sit quaerat porro aliquam. Sed labore sed quisquam dolor aliquam magnam amet. Quisquam voluptatem labore ipsum dolor magnam dolor. Tempora dolorem adipisci modi non tempora eius dolor. Labore amet dolorem magnam ut. Aliquam aliquam quisquam ipsum ipsum. Quisquam labore porro amet neque eius sit. Dolor tempora porro dolore.,,Abderrafiaa Koukam,Progressive stable monitoring,W,,Gabriel Peyré,Gabriel Rodrigues de Campos,Aliquam dolore quiquia ipsum velit quiquia eius quisquam.,Neque dolor sit dolor aliquam.,True,True,True,Interconnection|Event-triggered|Event-triggered|Representations|Output-feedback,,9605,6702178,big data,"Turner-James|Carroll, Price and Dodson",3,2,,True,quadrennial,
6697331,Hamid Abdullah Jalab|Maryam Asadzadeh Kaljahi|Michael Blumenstein|Mohamad Nizam Bin Ayub|Palaiahnakote Shivakumara|Rabha W. Ibrahim|Tianping Hu|Tong Lu,909107-43-2|488-67349-1|424-34253-2|311-29041-9|12-153874-7|8088-9853-7|19-453557-0|9545597-9-9,J,A geometric and fractional entropy-based method for family photo classification.,2019,ShortPaper,Tempora dolor modi quaerat non porro. Magnam dolorem quiquia aliquam voluptatem numquam. Neque est porro ipsum porro numquam modi. Quaerat quaerat dolor magnam. Adipisci aliquam etincidunt amet voluptatem labore. Neque sit modi ipsum voluptatem. Modi magnam voluptatem magnam dolore. Quiquia neque porro ut. Tempora etincidunt eius etincidunt dolorem numquam.,Chao Liu,,,,Organic radical migration,Alexander Yu. Aleksandrov,Adam Maina Ari,Consectetur non dolor ipsum tempora amet eius labore.,Aliquam quaerat consectetur dolor.,True,True,True,Leader-follower|Leader-follower|Event-triggered|Linearizability|Stabilizability,951,,6700545,indexing,"Hill-Heath|Lewis, Colon and Johnson|Richardson, Ryan and Romero|Moreno-Clark|Olson-Wells|Weiss Ltd|Rowe, Everett and Curtis|Hall PLC",5,4,True,,,3.9381294367917876
6697333,Conrad S. Tucker|Sung Hoon Lim,310-99668-8|9610918-5-6,C,Mining Twitter data for causal links between tweets and real-world outcomes.,2019,Poster,Ipsum non non etincidunt quaerat quaerat velit. Amet dolore consectetur etincidunt quaerat porro. Velit non numquam sit quaerat dolore adipisci eius. Dolorem labore consectetur quisquam eius dolor ut porro. Amet quiquia ipsum ipsum numquam magnam eius. Non non velit velit modi tempora eius. Quisquam non neque neque voluptatem neque. Ipsum adipisci adipisci non eius est porro. Tempora porro non eius velit adipisci tempora ut.,,Babak Hassibi,Total disintermediate utilization,W,,Choon Ki Ahn,Alán Tapia,Dolore quisquam amet voluptatem sit sed.,Neque dolor dolor tempora.,True,False,False,big data|Event-triggered|Output-feedback|Controllability|Nonovershooting,,5723,6699537,big data,"Gibbs-Foster|Munoz, Young and Gordon",4,8,,False,triennial,
6697334,Chenglong Dai|Dechang Pi|Huaifeng Zhang|Jing Jiang,04-837829-4|535-17550-9|485-38071-1|02-284720-8,C,A novel multi-module neural network system for imbalanced heartbeats classification.,2019,Poster,Etincidunt amet ut dolore. Dolor dolorem dolore dolor ut magnam ut amet. Voluptatem porro adipisci porro. Aliquam modi sed quisquam amet adipisci. Porro amet est aliquam tempora ipsum. Modi amet etincidunt magnam non est porro dolor. Quisquam numquam aliquam eius dolor quiquia ipsum. Sit etincidunt ut numquam dolor aliquam dolor est. Consectetur aliquam non porro tempora dolor.,,Guanghui Sun,Balanced mission-critical matrices,W,,David A. Copp,Agachai Sumalee,Neque adipisci est dolorem eius sit.,Etincidunt ut ipsum sit.,True,True,True,Synchronization|Parallelization|Output-feedback|Interconnection|big data,,2696,6698778,indexing,"Lewis, Brown and King|Harper, Thomas and Williams|Gill Ltd|Watson Ltd",3,5,,False,irregular,
6697335,Georgios Kontonatsios|Ioannis Korkontzelos|Peter Matthew|Sally Spencer,421-96323-1|403-35999-8|8233-2734-6|242-99312-6,C,Using a neural network-based feature extraction method to facilitate citation screening for systematic reviews.,2020,FullPaper,Adipisci tempora velit quaerat tempora labore labore neque. Quiquia dolore velit amet quaerat sit numquam. Dolorem quisquam amet ut. Velit consectetur neque sit. Quisquam amet amet dolorem. Etincidunt non etincidunt neque neque. Labore velit quisquam neque voluptatem consectetur. Amet aliquam neque est.,,Himadri Basu,Balanced mission-critical matrices,W,,Danyang Tian,Ali Hassan 0001,Labore est velit consectetur.,Quaerat eius sit non modi modi.,False,True,False,Output-feedback|Synchronization|data modeling|Passivity-based|Synchronization,,3792,6701345,database,Jones-Hunt|Johnson Ltd|Howe-Nelson|Wilson Group,1,2,,False,quadrennial,
6697336,Kurt Schneider|Steffen Herbold|Tobias Baum,459-89070-2|16-243914-0|18-049921-0,J,GIMO: A multi-objective anytime rule mining system to ease iterative feedback from domain experts.,2020,ShortPaper,Sit tempora voluptatem dolorem voluptatem. Magnam dolorem eius sed quiquia porro est. Modi consectetur tempora neque neque. Sed numquam etincidunt adipisci modi sit. Dolore tempora tempora quisquam labore porro sit. Numquam ut amet sit sit tempora voluptatem tempora. Voluptatem ipsum sit adipisci porro. Velit non amet modi non.,Jayanthy Ramakrishnan,,,,Universal leadingedge instruction set,Jiwei Sun,Aldo-Jonathan Munoz-Vazquez,Aliquam magnam neque tempora.,Quisquam sed sed porro.,True,True,True,Nonovershooting|Leader-follower|Edge-Artificial|Delay-dependent|Output-feedback,315,,6701920,data management,Hansen Inc|Miller PLC|Turner-Mcdaniel,7,2,True,,,47.24395477546458
6697337,Arash Gharehbaghi|Masoud Daneshtalab|Mohammad Loni|Zahra Ebrahimi,430-46594-5|201-13395-2|02-400405-3|450-64944-7,C,A review on deep learning methods for ECG arrhythmia classification.,2020,DemoPaper,Tempora numquam neque neque velit velit porro eius. Ipsum ipsum etincidunt dolor adipisci. Porro quisquam modi dolorem. Voluptatem non dolorem amet eius labore. Porro modi consectetur etincidunt quisquam.,,Andrey V. Savkin,Stand-alone upward-trending hub,W,,Andrea Gavioli,Aolo Bashar Abusaksaka,Dolore modi non magnam labore porro magnam.,Etincidunt sit dolorem non quisquam aliquam labore dolore.,False,True,False,"Stabilizability|Synchronization|Safety-critical|Softwarization,|Vision-Enhanced",,3283,6698610,data querying,"Sparks Inc|Baker LLC|Black, Holmes and Gallegos|Norman and Sons",1,8,,False,irregular,
6697338,Ju Huyan|Lili Pei|Liyang Xiao|Susan L. Tighe|Wei Li 0120,484-77597-2|03-425091-1|8049-6579-6|11-382262-3|11-778348-4,C,International roughness index prediction based on multigranularity fuzzy time series and particle swarm optimization.,2019,ShortPaper,Quisquam amet porro etincidunt. Dolorem dolorem etincidunt non adipisci quaerat. Adipisci sed quaerat voluptatem velit. Numquam quiquia porro adipisci eius dolore amet. Porro dolor porro consectetur aliquam ut quaerat. Tempora labore dolorem non quiquia magnam voluptatem labore.,,Han-Xiong Li,Assimilated web-enabled customer loyalty,S,,Florent Di Meglio,Alejandro Barrera,Voluptatem non velit quaerat.,Dolorem labore amet aliquam aliquam voluptatem velit.,False,True,False,Continuous-time|Output-feedback|Single-boundary|Knowledge-based|data processing,,3065,6697800,data management,"Hall-Hughes|Benson, Wang and Johnson|Taylor Group|Bates, Weber and Horton|Johnson Inc",2,3,,False,annual,
